DS1000Time	DS1000Depth	DS1000Vin
3578217605	0.77199537	12.2661
3578217606	0.7825706	12.5059
3578217607	0.76142007	12.2419
3578217608	0.93062454	12.368401
3578217610	1.2373075	12.371699
3578217611	1.7237704	12.3805
3578217612	2.1890826	12.3937
3578217613	2.7284219	12.4069
3578217615	3.2783363	12.3948
3578217616	3.9657295	12.414599
3578217617	4.8117518	12.4256
3578217619	5.2136126	12.4509
3578217620	5.5731721	12.419
3578217621	5.425118	12.2419
3578217623	5.5097203	12.217699
3578217624	5.2453384	12.174801
3578217625	5.7000751	12.1935
3578217627	4.9598055	12.1682
3578217628	5.6683493	10.8218
3578217629	5.012682	10.8064
3578217631	5.3933921	10.8229
3578217632	5.3087897	10.7558
3578217633	5.1501608	10.7195
3578217635	5.4145427	10.8119
3578217636	5.192462	10.7074
3578217637	5.3616662	10.7404
3578217639	5.2559133	10.714
3578217640	5.319365	10.824
3578217641	5.3405156	10.828401
3578217643	5.2241879	10.8361
3578217644	5.3933921	10.8207
3578217645	5.192462	10.7679
3578217646	5.3933921	10.7129
3578217648	5.3722415	10.7195
3578217649	5.086709	10.7327
3578217650	5.6471987	10.7668
3578217652	4.9492302	10.6557
3578217653	5.5731721	10.7008
3578217654	5.012682	10.6546
3578217655	5.3722415	10.692
3578217657	5.2241879	10.7041
3578217658	5.1607361	10.6293
3578217659	5.425118	10.8042
3578217661	5.0655584	10.828401
3578217662	5.4674191	10.7932
3578217663	5.2453384	10.6854
3578217664	5.2453384	10.6337
3578217666	5.4885697	10.682099
3578217667	5.0549831	10.6557
3578217668	5.5308709	10.6502
3578217670	5.0549831	10.5908
3578217671	5.4462686	10.550099
3578217672	5.1607361	10.56
3578217673	5.2453384	10.5127
3578217675	5.3933921	10.505
3578217676	5.0232573	10.4863
3578217677	5.5097203	10.4742
3578217679	4.9809561	10.527
3578217680	5.4145427	10.5237
3578217681	5.1395855	10.5347
3578217682	5.2453384	10.6876
3578217684	5.3299403	10.5776
3578217685	5.1184349	10.5941
3578217686	5.3828168	10.6293
3578217687	5.1290102	10.5193
3578217689	5.4568439	10.5446
3578217690	5.0655584	10.5963
3578217691	5.4674191	10.531401
3578217693	5.1395855	10.496201
3578217694	5.3933921	10.4478
3578217695	5.2030373	10.404901
3578217696	5.3722415	10.4093
3578217698	5.3828168	10.3917
3578217699	5.192462	10.3884
3578217700	5.5202956	10.397201
3578217702	5.1395855	10.3026
3578217703	5.4885697	10.319099
3578217704	5.3616662	10.293799
3578217705	5.2347631	10.34
3578217707	5.4674191	10.285
3578217708	5.3405156	10.252
3578217709	5.2982144	10.5677
3578217711	5.5731721	10.6755
3578217712	5.192462	10.5578
3578217713	5.5202956	10.5457
3578217714	5.3087897	10.5402
3578217716	5.4356933	10.5666
3578217717	5.3933921	10.5424
3578217718	5.3616662	10.5193
3578217720	5.4145427	10.5325
3578217721	5.319365	10.503901
3578217722	5.4779944	10.5215
3578217723	5.2241879	10.4731
3578217725	5.4674191	10.484099
3578217726	5.3722415	10.496201
3578217727	5.4039674	10.5083
3578217729	5.3616662	10.4764
3578217730	5.5202956	10.4753
3578217731	5.2982144	10.4544
3578217732	5.3299403	10.4335
3578217734	5.6471987	10.4808
3578217735	4.854053	10.3763
3578217736	5.8481293	12.5807
3578217738	4.7271495	10.1453
3578217739	5.5943222	10.329
3578217740	5.012682	10.2564
3578217741	5.319365	10.3026
3578217743	5.2559133	10.2685
3578217744	5.2030373	10.2443
3578217745	5.3722415	10.2223
3578217746	5.2982144	10.219
3578217748	5.3405156	10.225599
3578217749	5.3405156	10.192599
3578217750	5.4462686	10.1695
3578217752	5.2347631	10.1684
3578217753	5.5308709	10.2344
3578217754	5.2347631	10.197
3578217755	5.4674191	10.0078
3578217757	5.4039674	9.9021997
3578217758	5.3299403	9.8889999
3578217759	5.425118	9.8120003
3578217761	5.425118	9.8955994
3578217762	5.319365	9.9021997
3578217763	5.4674191	9.9440002
3578217764	5.3405156	9.9099007
3578217766	5.4039674	9.8813
3578217767	5.4145427	9.9219999
3578217768	5.319365	9.9505997
3578217770	5.3828168	9.9197998
3578217771	5.4568439	9.8570995
3578217772	5.0549831	9.8317995
3578217773	5.5520215	9.8691998
3578217775	4.8857789	9.7845001
3578217776	5.4568439	9.8780003
3578217777	5.0972843	9.8713999
3578217779	5.0655584	9.9120998
3578217780	5.3405156	9.9132004
3578217781	5.0338326	9.9715004
3578217782	5.2770638	9.9329996
3578217784	5.1607361	9.8395004
3578217785	5.2770638	9.8373003
3578217786	5.2241879	9.8900995
3578217788	5.2347631	9.8681002
3578217789	5.3405156	9.9066
3578217790	5.2347631	10.0529
3578217791	5.4145427	10.1508
3578217793	5.1607361	10.357599
3578217794	5.4039674	10.2784
3578217795	5.2453384	10.153
3578217797	5.2559133	10.1024
3578217798	5.3299403	10.1827
3578217799	5.1501608	10.1376
3578217800	5.425118	10.0001
3578217802	5.0444078	10.0287
3578217803	5.4779944	10.041901
3578217804	4.9703808	9.9143
3578217805	5.4039674	9.7019997
3578217807	5.1290102	9.8879004
3578217808	5.3616662	9.7965994
3578217809	5.1818867	9.7954998
3578217811	5.2876391	9.8483
3578217812	5.4039674	9.8175001
3578217813	4.9915314	9.7470999
3578217814	5.6048975	9.7746
3578217816	4.8963542	9.7602997
3578217817	5.4674191	9.8845997
3578217818	5.0232573	9.7823
3578217820	5.2876391	9.9572001
3578217821	5.2030373	9.7393999
3578217822	5.2136126	9.7877998
3578217823	5.2982144	9.7195997
3578217825	5.2453384	9.6822004
3578217826	5.3087897	9.7405005
3578217827	5.2982144	9.7119007
3578217829	5.319365	9.7119007
3578217830	5.1607361	9.7041998
3578217831	4.3887405	9.6767006
3578217832	3.9234283	9.5897999
3578217834	2.8764758	9.6184006
3578217835	2.7178466	9.7130003
3578217836	1.3536357	9.6514006
3578217838	1.5968671	12.104401
3578217839	0.85659754	12.0659
3578217840	1.5334154	12.080199
3578217841	1.0681032	12.0516
3578217843	1.4488132	12.0329
3578217844	1.1738559	11.946
3578217845	1.5757165	11.9944
3578217847	2.506341	11.9933
3578217848	3.3523633	12.0076
3578217849	4.1560845	12.012
3578217851	4.8011765	11.9933
3578217852	5.3722415	11.957
3578217853	6.1019359	11.9647
3578217854	6.4720707	12.001
3578217856	7.2757916	11.9075
3578217857	8.417922	11.935
3578217858	9.4437237	11.9328
3578217860	10.353198	11.9614
3578217861	11.104043	11.943801
3578217862	11.865462	11.9746
3578217864	12.605732	12.001
3578217865	12.552855	11.972401
3578217866	13.790163	11.954801
3578217868	14.128572	11.8866
3578217869	14.847692	11.9229
