GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),BioGPS_Position (position),BioShade_Position (position)
42859.8348367245,05/04/2017 20:02:09,05/04/2017 08:02:09.893 PM,893,0.1536644,0.8387555,1.18828,-0.1397877,5.881405,14.22067,28.53779,32.52563,47.66913,82.40955,92.37125,108.7935,105.8039,102.0992,104.8732,103.483,94.44402,91.88643,91.25693,83.96462,80.48209,83.01773,71.80775,54.31795,8.553028,18.91903,22.38938,39.10189,70.72327,82.90977,99.40209,98.25475,93.32439,98.4168,98.11276,90.68469,85.51464,85.43505,77.4623,74.75741,75.71799,55.07116,35.16216,0.0002908952,0.001108451,0.002051975,0.01400281,0.06210788,0.1548689,0.2684606,0.3962234,0.499171,0.6228152,0.7380365,0.6074394,0.3158459,0.2117748,0.1860216,0.15809,0.09993701,0.007282707,0.0005655015,2.055586,5012.387,4074
42859.8348374537,05/04/2017 20:02:09,05/04/2017 08:02:09.956 PM,956,0.1546031,0.8387555,0.9785607,-0.5591593,4.337558,14.22342,28.54661,32.52952,47.67024,82.45438,92.47712,108.8473,105.8483,102.1502,104.9207,103.5247,94.48363,91.93015,91.29902,84.00105,80.51511,83.06458,71.84177,54.34602,8.591338,19.00953,22.53226,38.60905,70.96924,83.15948,96.94654,96.12749,91.569,96.81982,95.81456,88.96008,83.27641,81.92567,74.21062,73.32087,74.38246,54.37886,33.52128,0.000287081,0.001099725,0.001998896,0.01384769,0.06144002,0.1526041,0.2639374,0.3906982,0.4949529,0.6185511,0.7336426,0.6018452,0.3125314,0.2098831,0.1840907,0.1548926,0.09860341,0.007396395,0.0005663285,2.182039,10,4074
42859.8348383565,05/04/2017 20:02:10,05/04/2017 08:02:10.034 PM,34,0.1497974,0.4892626,0.8387555,-0.5591593,4.477761,14.22469,28.5423,32.52391,47.67625,82.4375,92.50037,108.8296,105.8364,102.1311,104.912,103.5189,94.48603,91.92321,91.30239,84.00144,80.51664,83.06109,71.84225,54.34283,8.933496,19.78032,23.52381,40.66346,75.03003,88.07343,102.9261,102.1853,97.50198,103.237,102.1613,95.02674,89.1077,87.77602,80.66827,78.55573,79.97388,58.63536,36.60586,0.0002718057,0.001081484,0.001996339,0.01358837,0.06018559,0.1509252,0.2637796,0.3902844,0.4913345,0.6138827,0.7278945,0.6012649,0.3103598,0.2065453,0.1807348,0.154856,0.09686614,0.007088019,0.0005604206,2.099328,200209,4074
42859.8348390741,05/04/2017 20:02:10,05/04/2017 08:02:10.096 PM,96,0.1502838,0.4892626,1.18828,-0.7688549,5.951673,14.22607,28.55791,32.55021,47.69472,82.47615,92.45116,108.8809,105.8951,102.1864,104.9683,103.5777,94.53722,91.97186,91.34579,84.04289,80.56399,83.11396,71.88058,54.37895,9.092797,20.139,23.89991,41.46138,75.93374,89.07229,105.3553,104.5808,99.63692,105.3136,104.6128,97.12455,91.27492,90.29768,81.54939,80.3853,81.32496,60.17741,38.40214,0.0002845448,0.001044134,0.002029776,0.01401024,0.06144397,0.1514757,0.2713585,0.3978874,0.498066,0.619345,0.7310136,0.6113449,0.3186302,0.2128513,0.1849167,0.1617074,0.1026007,0.007868902,0.000616626,1.782176,-6630.423,4074
42859.8348398032,05/04/2017 20:02:10,05/04/2017 08:02:10.159 PM,159,0.1555709,0.4892626,1.118372,-0.7688549,6.443808,14.22631,28.55814,32.54159,47.6913,82.46334,92.48931,108.8752,105.8839,102.1812,104.9634,103.5789,94.53115,91.97489,91.34602,84.03906,80.55853,83.11256,71.88084,54.37864,8.744205,19.40389,22.85395,39.39429,71.00819,82.95044,98.78543,97.89209,92.83611,97.89046,97.41061,90.28381,85.08229,84.28752,75.30186,74.49612,75.00757,55.95908,36.22321,0.0002582378,0.0009665866,0.001940491,0.01350769,0.05963244,0.1477971,0.2695045,0.3949437,0.494404,0.6161911,0.7253268,0.6080359,0.3163172,0.2108376,0.18288,0.16097,0.1015999,0.007268741,0.0005538453,1.567493,5012.387,4074
42859.8348405208,05/04/2017 20:02:10,05/04/2017 08:02:10.221 PM,221,0.1499565,0.06989381,1.118372,-1.048466,7.641058,14.22622,28.5445,32.54073,47.69092,82.45458,92.47305,108.8621,105.8733,102.1736,104.9576,103.5505,94.5228,91.95029,91.34205,84.03231,80.5453,83.09583,71.87887,54.37064,8.577338,18.87254,22.41231,38.6283,71.18478,83.60112,97.82508,97.11868,92.89384,98.4903,97.53347,90.71648,84.8218,83.803,76.68343,75.12576,76.12148,56.40011,35.89796,0.0002546927,0.0009413041,0.001823741,0.01296151,0.05818101,0.1463628,0.2633381,0.3886089,0.4898249,0.6111625,0.7223364,0.5993325,0.31175,0.2079659,0.1816763,0.1570028,0.09979896,0.006915767,0.0005002724,1.723829,10,4074
42859.8348412384,05/04/2017 20:02:10,05/04/2017 08:02:10.283 PM,283,0.1601009,0,1.398015,-1.398015,6.72524,14.23241,28.56636,32.5209,47.72038,82.51945,92.62836,108.9799,105.9872,102.2807,105.0631,103.6796,94.62754,92.0646,91.4438,84.13065,80.64507,83.1983,71.96313,54.44468,8.492086,18.84629,22.43746,39.06215,71.07459,83.33892,98.92561,97.68011,93.39788,98.21552,98.07858,90.96739,85.35719,84.34299,75.94131,74.89,75.45383,55.61055,35.13038,0.0002514155,0.0009466485,0.001893336,0.01318961,0.05845026,0.1461517,0.2621075,0.387374,0.4871525,0.6080601,0.7194071,0.597226,0.3091266,0.2070985,0.1804676,0.1560961,0.09892682,0.006996033,0.0005231263,1.874714,200209,4074
42859.8348419676,05/04/2017 20:02:10,05/04/2017 08:02:10.346 PM,346,0.1617353,0,1.398015,-2.167225,1.607768,14.23242,28.55635,32.53297,47.71746,82.5175,92.58118,108.9867,105.9854,102.2758,105.0664,103.6805,94.63335,92.06942,91.45634,84.13783,80.65124,83.20791,71.96529,54.44422,8.576393,18.96927,22.75537,39.92619,74.95657,88.62351,102.8373,104.2677,97.77234,104.1549,102.5397,95.21102,89.59151,87.67023,80.77004,78.64738,79.75954,57.84286,36.41359,0.0002639378,0.0009995565,0.001994358,0.01411222,0.06159801,0.1505317,0.2723167,0.3985549,0.4973798,0.6176174,0.7258661,0.6091397,0.3196112,0.215564,0.1867604,0.1645825,0.1055046,0.008147398,0.0006068736,2.081057,-6630.423,4074
42859.8348428704,05/04/2017 20:02:10,05/04/2017 08:02:10.424 PM,424,0.1560315,-0.2096819,1.398015,-1.957407,2.447027,14.23469,28.56563,32.53685,47.72662,82.52718,92.55975,108.9635,106.0065,102.3072,105.0836,103.7042,94.6555,92.08956,91.47031,84.14648,80.66914,83.21883,71.97874,54.45568,8.94012,20.02419,23.93491,42.38334,77.9352,91.66392,108.7016,107.2144,102.1476,107.0458,106.9541,99.04103,91.88177,91.54746,82.67097,81.23825,81.85696,59.10335,36.29327,0.0002511987,0.001011302,0.001947321,0.01441656,0.06440481,0.1571876,0.2763177,0.4058976,0.5082138,0.6300567,0.7399545,0.6143683,0.3287386,0.2248329,0.1959982,0.1696081,0.1115241,0.008876893,0.0006024436,2.273897,5012.387,4074
42859.834843588,05/04/2017 20:02:10,05/04/2017 08:02:10.486 PM,486,0.150283,-0.1397877,1.398015,-1.537848,3.146803,14.23454,28.56985,32.53297,47.72947,82.55365,92.5532,108.9791,106.0017,102.3046,105.0986,103.7009,94.65826,92.09085,91.47218,84.15348,80.67413,83.22563,71.97916,54.45839,9.033681,20.01149,23.95949,41.76345,75.63658,88.43159,103.7903,102.2862,99.18269,104.6419,103.9998,96.46027,89.40822,89.53427,80.43137,79.28819,79.85975,58.2202,36.20279,0.0002479725,0.0009728805,0.001829861,0.01377117,0.06316336,0.1570784,0.2755165,0.4052234,0.5088132,0.6319387,0.7429983,0.6171132,0.3294769,0.2257097,0.1973972,0.1700477,0.111278,0.00826446,0.0005178612,2.25624,10,4074
