GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),BioGPS_Position (position),BioShade_Position (position)
42859.8324797569,05/04/2017 19:58:46,05/04/2017 07:58:46.251 PM,251,1.378835,0.2795763,0.6290568,-0.9785607,0.2795763,14.46759,28.85085,32.76091,47.72098,82.07285,91.51317,107.5869,104.3682,100.4642,103.1351,101.4802,92.51828,89.9047,89.00538,81.74423,78.59885,80.88532,69.5864,52.62051,0.00280511,0.01422483,0.04214712,0.8553774,5.697892,15.06218,25.84592,34.96412,39.51991,46.95868,51.35121,48.58707,38.24473,32.73923,28.22083,26.10073,18.68914,0.8011197,0.01496902,-9.691402E-07,5.420971E-06,3.664512E-05,0.001342111,0.01423705,0.05706031,0.1265293,0.2230279,0.2980712,0.3874196,0.4711297,0.3582253,0.1372564,0.07350789,0.06517417,0.05347923,0.02465653,0.0003009239,4.726365E-05,0.4462559,5012.347,4074
42859.8324806597,05/04/2017 19:58:46,05/04/2017 07:58:46.329 PM,329,1.368043,0.4892626,0.7688549,-0.4892626,0.7688549,14.46612,28.83587,32.80932,47.71381,82.08057,91.44093,107.5606,104.361,100.4553,103.1195,101.4654,92.50681,89.89063,88.99448,81.73635,78.59048,80.87466,69.57753,52.61254,0.00266507,0.01487979,0.0452688,0.9236144,6.190421,16.5613,28.43261,38.70209,43.84568,52.18769,57.14306,54.39427,43.2733,37.41548,32.23085,29.89238,21.53977,0.9588661,0.01839759,3.213466E-06,3.736488E-06,2.827838E-05,0.001378186,0.01445937,0.05768697,0.1276938,0.2245232,0.2996691,0.3893019,0.4737464,0.3598792,0.1383713,0.07424909,0.06585539,0.05417946,0.0250321,0.0003111325,4.532299E-05,0.6104926,10,4074
42859.8324813773,05/04/2017 19:58:46,05/04/2017 07:58:46.391 PM,391,1.351299,-0.06989381,1.118372,-0.2795763,0.4193665,14.46593,28.83431,32.78518,47.71738,82.08032,91.52424,107.5694,104.383,100.4782,103.1485,101.4888,92.51894,89.91536,89.00735,81.74785,78.61108,80.88157,69.5951,52.62618,0.002773456,0.01518078,0.04712091,0.9632831,6.44005,16.94933,29.21165,39.1728,44.41535,52.70713,57.95075,55.18623,43.69605,37.86313,32.81959,30.14162,21.84506,1.023178,0.02060817,3.825556E-06,3.073415E-05,2.013338E-05,0.001372913,0.01464854,0.05823173,0.1285552,0.2257097,0.3013438,0.3914041,0.4756951,0.3623165,0.1394809,0.07504842,0.06652585,0.05471403,0.02543841,0.0003150665,4.820941E-05,0.7538108,195845,4074
42859.8324820949,05/04/2017 19:58:46,05/04/2017 07:58:46.453 PM,453,1.32778,0.4892626,0.7688549,-0.2795763,1.118372,14.46577,28.83192,32.79638,47.72065,82.07413,91.58428,107.5664,104.3649,100.4595,103.128,101.4731,92.52319,89.90185,89.00558,81.74689,78.60045,80.88026,69.58926,52.62329,0.003148007,0.01607377,0.04851796,0.9649021,6.347837,16.52178,28.27022,37.82221,42.72575,50.67152,55.54578,52.87569,42.04906,36.50625,31.6146,29.18331,21.28175,1.049549,0.02267869,1.020148E-06,2.297022E-05,3.164873E-05,0.001432228,0.01486479,0.05882601,0.1296426,0.2272814,0.3030052,0.3933406,0.4781708,0.3648408,0.140787,0.07603044,0.06730433,0.05558227,0.02590646,0.0003248328,4.604357E-05,0.7727622,-6630.458,4074
42859.8324828241,05/04/2017 19:58:46,05/04/2017 07:58:46.516 PM,516,1.318067,0.2795763,1.537848,-0.06989381,3.006814,14.4673,28.84736,32.79466,47.71888,82.09783,91.69875,107.5746,104.3738,100.4668,103.1465,101.4844,92.52715,89.90676,89.00951,81.74667,78.60477,80.88469,69.59151,52.6284,0.003416229,0.01585263,0.0491456,0.9658293,6.249481,16.14006,27.45504,36.65269,41.32281,48.94807,53.55031,50.93151,40.61135,35.31495,30.59639,28.30308,20.71099,1.055998,0.02366278,-2.360914E-06,1.035191E-05,3.404345E-05,0.00137888,0.01503086,0.05935648,0.1299434,0.2278956,0.304142,0.3949102,0.4802359,0.364307,0.1410027,0.07628251,0.06775459,0.05540849,0.02604179,0.0003298137,4.793101E-05,0.527833,5012.347,4074
42859.8324835417,05/04/2017 19:58:46,05/04/2017 07:58:46.578 PM,578,1.30534,0.3494712,1.398015,-0.2795763,3.63692,14.46813,28.84396,32.78345,47.71253,82.08182,91.72516,107.5732,104.3767,100.4802,103.1349,101.4872,92.5265,89.91293,89.01541,81.75275,78.60617,80.88943,69.59857,52.62653,0.003777745,0.01647457,0.05156331,0.9917078,6.403906,16.41551,27.8402,36.96179,41.50272,49.04118,53.46864,50.69937,40.39186,35.07121,30.31842,28.11119,20.62399,1.080313,0.02480061,-4.284622E-06,1.177606E-05,3.393997E-05,0.001434726,0.01518446,0.05971034,0.1305055,0.2284677,0.3048392,0.3956034,0.4807691,0.3649743,0.1409508,0.07606596,0.06745078,0.05507801,0.02585305,0.0003304778,4.657991E-05,0.2795991,10,4074
42859.8324844444,05/04/2017 19:58:46,05/04/2017 07:58:46.656 PM,656,1.282818,0.4892626,1.607768,-0.3494712,3.987165,14.46323,28.83652,32.73214,47.70157,82.04467,91.57389,107.5225,104.3254,100.4159,103.0841,101.4375,92.48029,89.86575,88.9613,81.70779,78.56504,80.83949,69.55866,52.59111,0.003570576,0.01770387,0.05406094,1.023319,6.484381,16.49358,27.59641,36.81651,41.25258,48.63065,53.15812,50.47439,40.17051,34.8776,30.39044,27.94252,20.67622,1.148119,0.02799234,-3.235327E-06,2.995316E-05,3.911375E-05,0.001492237,0.01533251,0.0599835,0.1313771,0.2294914,0.3058581,0.3964999,0.4811674,0.3663149,0.1413207,0.07601643,0.06719902,0.05524898,0.02583496,0.0003269726,4.90651E-05,0.304448,195846,4074
42859.8324851736,05/04/2017 19:58:46,05/04/2017 07:58:46.719 PM,719,1.270925,0.4892626,2.097282,-0.4193665,2.866842,14.46315,28.83909,32.77526,47.6939,82.05983,91.57751,107.5136,104.3192,100.4288,103.1089,101.4499,92.48473,89.86842,88.97987,81.71155,78.5755,80.86099,69.56079,52.61018,0.003703124,0.01800947,0.05554841,0.9948683,6.148704,15.31288,25.50182,33.48458,37.2914,43.87682,47.5607,44.81699,35.60054,30.78878,26.76822,24.67475,18.32346,1.068133,0.02792293,5.596241E-06,1.927456E-05,4.15676E-05,0.001513743,0.01557425,0.06062932,0.1325892,0.2310939,0.307609,0.3983654,0.4834716,0.3686696,0.1422164,0.07662187,0.06768943,0.05574669,0.02615042,0.0003389758,4.52452E-05,0.507436,-6630.458,4074
42859.8324858912,05/04/2017 19:58:46,05/04/2017 07:58:46.781 PM,781,1.258338,0.4892626,1.677691,-0.3494712,3.706957,14.46174,28.8289,32.77181,47.683,82.05513,91.56985,107.5467,104.3257,100.4371,103.0976,101.4453,92.48003,89.8715,88.98053,81.71564,78.5754,80.85724,69.57152,52.60891,0.004267542,0.0194192,0.05883092,1.023528,6.221798,15.31484,25.33286,33.14922,36.77173,43.01692,46.65191,43.69865,34.9114,30.28042,26.21916,24.2823,18.0913,1.091706,0.02965164,4.947718E-06,4.900311E-07,4.836742E-05,0.001535388,0.01585865,0.06154985,0.1338341,0.2331555,0.310159,0.4016757,0.48713,0.3702957,0.1439333,0.07791374,0.06894914,0.05651009,0.02664773,0.0003521438,4.815618E-05,0.6110392,5012.347,4074
42859.8324866088,05/04/2017 19:58:46,05/04/2017 07:58:46.843 PM,843,1.242876,0.3494712,2.167225,-0.3494712,3.356823,14.46148,28.83734,32.78302,47.68919,82.04189,91.65591,107.5106,104.3099,100.4055,103.0792,101.4268,92.47026,89.85812,88.96646,81.70552,78.5608,80.84061,69.55843,52.59573,0.004697657,0.02057718,0.06258775,1.034155,6.056776,14.57597,23.85205,30.89915,34.07946,39.72081,42.93132,39.78576,31.72546,27.23311,23.46159,21.95155,16.32858,1.017522,0.0289134,-1.147669E-07,1.29552E-05,5.331946E-05,0.001503892,0.01601133,0.06198562,0.1348159,0.2348473,0.31202,0.4038336,0.4896057,0.3730522,0.1450096,0.0782107,0.06906103,0.05671588,0.02658488,0.0003334887,4.325132E-05,0.7641244,10,4074
