GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),BioGPS_Position (position),BioShade_Position (position)
42859.8311739699,05/04/2017 19:56:53,05/04/2017 07:56:53.431 PM,431,1.617123,0.8387555,1.25819,-2.796863,-11.04156,14.86625,29.61539,33.70993,49.20675,84.85303,95.27391,111.5281,108.2904,104.4259,107.2599,105.6837,96.39938,93.65532,92.80692,85.34296,81.94974,84.39053,72.84788,55.16208,0.001525641,0.009841283,0.0322203,0.7413947,5.055068,13.12532,22.51768,30.47181,34.16169,40.41282,44.11311,40.06139,29.39935,23.53836,19.833,18.07312,12.09216,0.2842832,0.003130033,-1.366998E-05,6.125357E-08,2.694587E-05,0.001702787,0.01726219,0.06370381,0.1351645,0.2331345,0.308659,0.3983752,0.479758,0.3623571,0.1339055,0.0703887,0.06647509,0.05209035,0.02235882,0.0003043644,4.469248E-05,1.541044,10,4074
42859.8311746991,05/04/2017 19:56:53,05/04/2017 07:56:53.494 PM,494,1.607836,0.5591593,1.747616,-2.656917,-11.39784,14.85374,29.58719,33.65173,49.13918,84.72343,95.16126,111.3371,108.1203,104.2305,107.0315,105.47,96.22588,93.47297,92.62984,85.18699,81.78479,84.22751,72.69734,55.05095,0.002548452,0.01022272,0.03435108,0.8086986,5.561254,14.52996,24.83373,34.2785,38.59502,46.05048,50.58278,46.6779,34.52704,28.23779,23.79538,21.68744,14.6125,0.3456601,0.003708006,7.957156E-06,1.912653E-05,4.326755E-05,0.001782221,0.01712453,0.06320834,0.1350164,0.2324752,0.3073165,0.3963676,0.4771475,0.3607728,0.1332885,0.06971114,0.06553087,0.05171997,0.0221688,0.0002989165,4.846734E-05,1.533781,195652,4074
42859.8311754167,05/04/2017 19:56:53,05/04/2017 07:56:53.556 PM,556,1.598205,1.118372,0.9785607,-2.447027,-10.04622,14.84634,29.57947,33.63879,49.10608,84.65276,95.08473,111.2747,108.0299,104.162,106.9598,105.3855,96.14671,93.39899,92.55672,85.11134,81.72191,84.16766,72.64368,55.0068,0.001909795,0.01041946,0.03680648,0.8930684,6.238008,16.49608,29.3386,39.22506,44.41272,52.97797,58.31269,54.73899,40.6893,33.67872,28.46578,25.96138,17.50918,0.4212953,0.004442194,-4.934966E-06,1.419559E-05,3.572862E-05,0.001731716,0.01676528,0.06213571,0.1337402,0.2303851,0.3044019,0.3924334,0.4726679,0.3582369,0.1313246,0.06787269,0.06346747,0.05062194,0.02141048,0.0002830168,4.355838E-05,1.635589,-6630.453,4074
42859.8311761343,05/04/2017 19:56:53,05/04/2017 07:56:53.618 PM,618,1.58121,0.9086576,1.25819,-1.887474,-7.993807,14.83684,29.55375,33.63794,49.06871,84.56395,94.91225,111.1255,107.8809,104.0061,106.8115,105.2252,95.99073,93.24915,92.40803,84.97439,81.59376,84.02206,72.51842,54.90805,0.003184364,0.01152206,0.03850368,0.9509367,6.678643,17.86906,31.06945,42.32131,48.06806,57.19846,62.92715,59.08244,44.3858,36.83315,31.23439,28.51007,19.24477,0.472479,0.005036147,2.575874E-06,2.81768E-05,3.280174E-05,0.001655266,0.01647019,0.06132248,0.1321813,0.2284399,0.3024128,0.3905125,0.4702411,0.3562522,0.1302635,0.0672733,0.06287891,0.04989693,0.02111078,0.000274842,4.016427E-05,1.835106,5012.322,4074
42859.831177037,05/04/2017 19:56:53,05/04/2017 07:56:53.696 PM,696,1.564466,1.46793,0.7688549,-1.18828,-4.828386,14.82639,29.51664,33.57758,49.01215,84.45507,94.73573,110.9595,107.7109,103.8383,106.6327,105.0375,95.82089,93.08666,92.25195,84.82252,81.44884,83.87585,72.38227,54.79763,0.002684277,0.01158196,0.0401038,0.9612651,6.749322,18.11265,31.44771,42.84349,48.74091,58.04222,63.86035,59.94453,45.46752,37.76511,32.24242,29.46506,19.96594,0.5102249,0.005566661,2.008416E-05,-1.944812E-06,4.241019E-05,0.001657694,0.01631156,0.06111252,0.1317709,0.2281163,0.3026598,0.3913774,0.4726311,0.3577785,0.131447,0.06835618,0.06373404,0.05056489,0.02157348,0.0002746364,4.580201E-05,2.009791,10,4074
42859.8311777662,05/04/2017 19:56:53,05/04/2017 07:56:53.759 PM,759,1.545943,1.398015,0.8387555,-0.9086576,-5.249377,14.81603,29.49496,33.53662,48.96481,84.32504,94.66326,110.8141,107.5798,103.6813,106.4783,104.9054,95.68844,92.95547,92.10564,84.6936,81.31232,83.73798,72.25843,54.70304,0.002456529,0.01238818,0.04228868,0.9925575,6.887689,18.31458,31.71612,42.75609,48.39067,57.48413,63.02559,59.03937,44.46765,36.75333,31.26323,28.61976,19.4778,0.5201826,0.005940718,-8.020915E-06,5.099389E-06,2.719928E-05,0.001638131,0.0161972,0.06113597,0.131936,0.2286328,0.3036388,0.3931115,0.4753152,0.3611036,0.1335514,0.06988057,0.0650032,0.05174674,0.02227918,0.0002814344,4.380403E-05,1.994334,195653,4074
42859.8311784838,05/04/2017 19:56:53,05/04/2017 07:56:53.821 PM,821,1.526057,1.118372,0.9086576,-1.25819,-9.54972,14.81034,29.49,33.51765,48.92112,84.27766,94.59835,110.7288,107.499,103.5721,106.3798,104.8053,95.60706,92.87612,92.02642,84.61275,81.24561,83.66077,72.19012,54.64631,0.003096557,0.01392998,0.04736623,1.070839,7.374037,19.55956,33.75603,45.44878,51.45443,61.11279,67.10675,63.18795,47.97879,40.31985,34.33098,31.23013,21.47338,0.6131846,0.007496999,-1.912779E-07,1.336867E-05,4.127195E-05,0.001649022,0.01615389,0.0611953,0.1322607,0.2294118,0.30482,0.3947596,0.4777636,0.3635932,0.1353986,0.07108595,0.0659628,0.05252481,0.02274907,0.0002850136,4.511418E-05,1.640689,-6630.454,4074
42859.831179213,05/04/2017 19:56:53,05/04/2017 07:56:53.884 PM,884,1.49706,1.817544,0.6989553,-1.46793,-10.54349,14.80266,29.46382,33.4879,48.88519,84.21189,94.5163,110.6165,107.3718,103.4576,106.2474,104.6708,95.48744,92.76334,91.90939,84.5026,81.14658,83.55075,72.09229,54.57185,0.002936646,0.01515774,0.04969266,1.089021,7.299619,19.01492,32.37718,44.28396,50.20509,59.41285,65.04347,61.02206,47.62035,39.89916,33.91003,31.67106,21.96414,0.696219,0.009098542,7.064525E-06,1.381276E-05,2.65193E-05,0.001517628,0.01599624,0.06101467,0.1317412,0.2288278,0.3045442,0.3948673,0.4785079,0.36292,0.135697,0.07147841,0.06614393,0.05265256,0.02293088,0.0002830735,3.926764E-05,1.245469,5012.322,4074
42859.8311799306,05/04/2017 19:56:53,05/04/2017 07:56:53.946 PM,946,1.472251,1.25819,0.9086576,-1.677691,-9.337157,14.79296,29.45436,33.51851,48.83213,84.09724,94.42487,110.4547,107.2419,103.3122,106.1218,104.5387,95.35386,92.62848,91.76747,84.38056,81.03043,83.42626,71.97939,54.48154,0.003523243,0.01620353,0.0517467,1.014133,6.421353,16.11205,26.91849,36.05273,40.3704,47.93095,51.90265,47.93791,37.11961,30.3835,25.72494,24.02323,16.95449,0.5757028,0.008082163,-6.193757E-06,-1.320362E-06,3.779813E-05,0.001553148,0.01584144,0.06071417,0.1309209,0.2278527,0.3038038,0.3945593,0.4787591,0.3619741,0.1356859,0.07183668,0.06641291,0.05267458,0.02313508,0.0002880088,4.379584E-05,1.281459,10,4074
42859.8311808333,05/04/2017 19:56:54,05/04/2017 07:56:54.024 PM,24,1.445036,1.398015,0.6989553,-2.027343,-8.41751,14.79053,29.44407,33.49523,48.80722,84.05177,94.37859,110.4057,107.1708,103.2551,106.0461,104.4849,95.30013,92.57473,91.70718,84.33057,80.97128,83.36485,71.92088,54.4311,0.004015097,0.01849397,0.05682835,1.001781,6.039505,14.70818,24.3129,31.6719,35.01866,41.33441,44.52184,40.73064,30.67425,25.07457,21.32423,19.56492,13.80799,0.4946772,0.007690373,1.234379E-05,1.070412E-05,2.295679E-05,0.001476628,0.01567051,0.06057751,0.130515,0.2282001,0.3044443,0.3954802,0.4796048,0.3633843,0.1370039,0.07289847,0.06718224,0.05312066,0.02368735,0.0002951793,3.588874E-05,1.401915,195653,4074
