DS1004Time	DS1004Depth	DS1004Vin
3576771950	5.6789246	6.4052997
3576771951	5.6789246	6.3810997
3576771953	5.7000751	6.3525
3576771954	5.6471987	6.3172998
3576771955	5.6894999	6.2964001
3576771957	5.6894999	6.3106999
3576771958	5.7000751	6.2765999
3576771959	5.6894999	6.2887001
3576771960	5.7000751	6.0257998
3576771962	5.6789246	6.0489001
3576771963	5.7000751	5.9762998
3576771964	5.6260481	5.9597998
3576771966	5.3933921	5.973
3576771967	5.0338326	5.9554005
3576771968	4.6636977	5.9597998
3576771969	4.3570147	6.0400996
3576771971	3.9445789	6.0400996
3576771972	3.5215678	6.0455999
3576771973	3.2148848	6.0379004
3576771975	3.0245297	6.0400996
3576771976	2.8553252	6.0422997
3576771977	2.6861207	6.0379004
3576771979	2.5909433	6.0400996
3576771980	2.4534647	6.039
3576771981	2.167932	6.0434003
3576771982	1.8506738	6.039
3576771984	1.6391681	6.0422997
3576771985	1.3536357	6.039
3576771986	1.2267324	6.0412002
3576771988	1.1104043	6.0400996
3576771989	0.90947396	6.0379004
3576771990	0.81429648	6.0412002
3576771991	0.80372119	6.039
3576771993	0.7825706	6.039
3576771994	0.76142007	6.0422997
3576771995	0.60279089	6.0412002
3576771997	0.60279089	6.0455999
3576771998	0.64509201	6.0455999
3576771999	0.61336619	6.0455999
3576772001	0.70854366	6.0422997
3576772002	0.84602231	6.0489001
3576772003	1.1421301	6.0400996
3576772004	1.2267324	6.039
3576772006	1.480539	6.0345998
3576772007	1.6814693	6.0599003
3576772008	1.935276	6.0654001
3576772010	2.1150558	6.0500002
3576772011	2.3794377	6.0500002
3576772012	2.5274916	6.0654001
3576772013	2.8024487	6.0510998
3576772015	2.9716532	6.0324001
3576772016	3.1620083	6.0489001
3576772017	3.4052398	6.039
3576772019	3.5850194	6.0500002
3576772020	3.8282509	6.0379004
3576772021	4.0503316	6.0257998
3576772023	4.2935634	6.0170002
3576772024	4.54737	6.0180998
3576772025	4.780026	6.0170002
3576772026	5.0549831	6.0170002
3576772028	5.319365	6.0279999
3576772029	5.5943222	6.0214005
3576772030	5.8692799	6.0444999
3576772032	6.07021	6.039
3576772033	6.3663177	6.039
3576772034	6.5883985	6.0192003
3576772035	6.8316302	6.0180998
3576772037	7.0642862	6.0180998
3576772038	7.3075175	6.0170002
3576772039	7.4978724	6.0235996
3576772041	7.7093782	6.0257998
3576772042	7.8891578	6.0192003
3576772043	8.1218138	6.0225
3576772045	8.2804432	6.0192003
3576772046	8.4707985	6.0225
3576772047	8.6717281	6.0279999
3576772048	8.8620834	6.0225
3576772050	9.0735893	6.0279999
3576772051	9.2427931	6.0257998
3576772052	9.4648743	6.0279999
3576772054	9.6235037	6.0279999
3576772055	9.8032837	6.0269003
3576772056	10.004213	6.0279999
3576772057	10.194569	6.0257998
3576772059	10.332047	6.0379004
3576772060	10.607004	6.0345998
3576772061	10.723332	6.0400996
3576772063	10.860811	6.0379004
3576772064	11.135769	6.0324001
3576772065	11.294397	6.0500002
3576772067	11.495328	6.039
3576772068	11.73856	6.0500002
3576772069	11.876038	6.0510998
3576772070	12.14042	6.0510998
3576772072	12.299049	6.0510998
3576772073	12.531705	6.0489001
3576772074	12.732635	6.0587997
3576772076	12.912416	6.0444999
3576772077	13.12392	6.0412002
3576772078	13.335426	6.0500002
3576772079	13.536357	6.0500002
3576772081	13.758437	6.0510998
3576772082	13.959368	6.0467
3576772083	14.117997	6.0367999
3576772085	14.350653	6.0434003
3576772086	14.541008	6.0412002
3576772087	14.657336	6.0467
3576772088	14.710213	6.0467
3576772090	14.678487	6.0412002
3576772091	14.710213	6.0422997
3576772092	14.636186	6.039
3576772094	14.001669	6.039
3576772095	13.769012	6.0290999
3576772096	13.589233	6.0345998
3576772098	13.46233	6.0324001
3576772099	13.10277	6.0335002
3576772100	12.552855	6.039
3576772101	12.214447	6.0070996
3576772103	12.024092	6.0225
3576772104	11.484753	6.0049005
3576772105	11.188644	6.006
3576772107	10.892537	6.0170002
3576772108	10.702182	6.0159001
3576772109	10.427225	5.8959999
3576772110	9.8032837	5.9960999
3576772112	9.2850943	6.0202999
3576772113	8.9361105	6.0170002
3576772114	8.4813738	6.0819001
3576772116	8.0689373	6.006
3576772117	7.7199535	5.973
3576772118	7.4661469	5.973
3576772120	7.3075175	5.9565001
3576772121	7.0642862	5.9510002
3576772122	6.9162321	5.9422002
3576772123	6.6941514	5.9235001
3576772125	6.1548123	5.9070001
3576772126	5.6894999	5.9180002
3576772127	5.2136126	5.8860998
3576772129	4.7694507	5.8872004
3576772130	4.3464394	5.8740001
3576772131	3.9763048	6.0257998
3576772132	3.5850194	6.006
3576772134	3.1091318	5.9983001
3576772135	2.7072713	5.9070001
3576772136	2.3477118	6.0049005
3576772138	2.0621793	5.9949999
3576772139	1.7872221	5.8850002
3576772140	1.5334154	5.8860998
3576772142	1.3959367	5.8860998
3576772143	1.364211	5.8772998
3576772144	1.2373075	5.8970995
3576772145	0.99407619	5.8850002
3576772147	0.70854366	5.8805995
3576772148	0.5816403	6.0049005
3576772149	0.56048977	5.8762002
3576772151	0.5922156	6.0005002
3576772152	0.60279089	5.9949999
3576772153	0.61336619	5.9972
3576772154	0.61336619	5.9818001
3576772156	0.61336619	6.0049005
3576772157	0.61336619	6.0027003
3576772158	0.62394142	5.9784999

DS1004Cal1nm
