[Header]
HydroSoftVersion=2.83
CreationDate=05-05-17 00:51:24
FileType=dat
DeviceType=HydroScat-6
DataSource=C:\data\CHONE2_BSI\20170504\HS6139.RAW
CalSource=C:\Documents and Settings\Utilisateur\Bureau\cage biooptique\calibration files\HS100649 2016-3-29.cal
Serial=HS100649
Config=B2F0
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=.000899
beta0=.000167
lambda0=525
gammaLambda=4.32
chi=FromCalFile
[Channels]
"bb394"
"bb470"
"bb420"
"bb700"
"bb532"
"bb620"
"fl470"
"fl700"
[ColumnHeadings]
Time,Depth,bb394,bb470,bb420,bb700,bb532,bb620,fl470,fl700,bb394uncorr,bb470uncorr,bb420uncorr,bb700uncorr,bb532uncorr,bb620uncorr,fl470uncorr,fl700uncorr,betabb394,betabb470,betabb420,betabb700,betabb532,betabb620,betafl470,betafl700,betabb394uncorr,betabb470uncorr,betabb420uncorr,betabb700uncorr,betabb532uncorr,betabb620uncorr,betafl470uncorr,betafl700uncorr
[Data]
42859.8224652778,5.482601,1.708546E-02,1.452943E-02,1.623856E-02,1.188175E-02,1.460126E-02,1.023175E-02,9.780043E-04,1.015478E-02,1.619522E-02,1.379766E-02,1.538003E-02,1.137696E-02,1.387984E-02,9.857529E-03,9.29678E-04,1.022257E-02,2.635835E-03,2.195636E-03,2.482264E-03,1.759874E-03,2.183081E-03,1.523752E-03,1.369187E-04,1.505533E-03,2.504725E-03,2.087863E-03,2.355824E-03,1.68553E-03,2.076835E-03,1.468638E-03,1.369187E-04,1.505533E-03,
42859.8224652778,5.508401,.0162146,1.395721E-02,1.506567E-02,1.450523E-02,-9.839205E-02,9.858918E-03,1.500546E-04,1.100666E-02,1.541393E-02,1.328079E-02,1.432599E-02,1.376235E-02,-.2802205,9.510984E-03,1.429864E-04,1.107445E-02,2.50758E-03,2.111361E-03,2.309527E-03,2.146249E-03,-1.445805E-02,1.468843E-03,2.105838E-05,1.630994E-03,2.38966E-03,2.011742E-03,2.20059E-03,2.03684E-03,-4.123691E-02,.0014176,2.105838E-05,1.630994E-03,
42859.8224652778,5.469701,1.666184E-02,1.448888E-02,1.601074E-02,-5.856002E-02,.0143147,1.036421E-02,6.325997E-04,-7.32976E-03,1.581571E-02,1.376109E-02,1.517594E-02,-7.947663E-02,1.362062E-02,9.980435E-03,6.018005E-04,-7.261964E-03,2.573447E-03,2.189663E-03,2.448712E-03,-8.614467E-03,2.140878E-03,1.54326E-03,8.863041E-05,-1.069509E-03,2.448833E-03,2.082478E-03,2.325766E-03,-1.169497E-02,2.038657E-03,1.486739E-03,8.863041E-05,-1.069509E-03,
42859.8224768518,5.547101,1.676523E-02,1.448888E-02,1.652353E-02,1.258366E-02,1.458373E-02,.0105571,8.639721E-04,2.873759E-03,1.590843E-02,1.376109E-02,1.563491E-02,1.201936E-02,.013864,.0101592,8.217689E-04,2.941555E-03,2.588674E-03,2.189663E-03,2.524233E-03,1.863249E-03,2.180501E-03,1.571668E-03,1.210264E-04,4.332187E-04,2.462488E-03,2.082478E-03,2.393361E-03,1.780141E-03,2.074502E-03,1.513068E-03,1.210264E-04,4.332187E-04,
42859.8224768518,5.482601,1.752551E-02,1.431853E-02,.0169617,1.254037E-02,1.366332E-02,1.036421E-02,8.647888E-04,9.649844E-03,1.658837E-02,.0136074,1.602588E-02,1.197983E-02,1.302955E-02,9.980435E-03,8.217689E-04,9.71764E-03,2.700644E-03,2.164575E-03,2.588765E-03,1.856873E-03,2.044947E-03,1.54326E-03,1.210264E-04,1.431169E-03,2.562626E-03,2.059842E-03,2.450942E-03,1.774319E-03,1.951608E-03,1.486739E-03,1.210264E-04,1.431169E-03,
42859.8224768518,5.547101,1.645526E-02,1.366031E-02,1.654255E-02,1.156968E-02,1.405281E-02,1.018662E-02,8.579282E-04,9.649844E-03,1.563027E-02,1.301182E-02,1.565191E-02,1.109034E-02,1.338329E-02,9.81563E-03,8.176186E-04,9.71764E-03,2.543024E-03,2.067636E-03,2.527035E-03,1.713914E-03,2.102309E-03,1.517105E-03,1.204151E-04,1.431169E-03,2.421523E-03,1.972129E-03,2.395864E-03,1.643319E-03,2.003704E-03,1.462467E-03,1.204151E-04,1.431169E-03,
42859.8224884259,5.495501,.0169377,1.406339E-02,1.599178E-02,1.156968E-02,1.420289E-02,.0102799,9.246351E-04,9.807166E-03,1.606296E-02,1.337685E-02,1.515894E-02,1.109034E-02,1.351934E-02,9.902222E-03,8.798738E-04,9.874962E-03,2.614074E-03,2.126999E-03,2.44592E-03,1.713914E-03,2.124411E-03,1.530843E-03,1.295838E-04,1.454339E-03,2.485247E-03,2.025889E-03,2.323262E-03,1.643319E-03,2.023742E-03,1.47522E-03,1.295838E-04,1.454339E-03,
42859.8224884259,5.547101,1.742162E-02,1.461676E-02,1.642844E-02,1.184944E-02,1.402282E-02,1.041241E-02,9.262603E-04,9.988691E-03,1.649565E-02,1.387636E-02,1.554991E-02,1.134731E-02,1.335608E-02,1.002513E-02,8.798738E-04,1.005649E-02,2.685343E-03,2.208497E-03,2.510228E-03,1.755115E-03,2.097891E-03,1.550358E-03,1.295838E-04,1.481073E-03,2.548971E-03,2.099455E-03,2.380843E-03,1.681164E-03,1.999697E-03,1.493321E-03,1.295838E-04,1.481073E-03,
42859.8224884259,5.508401,1.707581E-02,1.461676E-02,1.642844E-02,1.155893E-02,1.380303E-02,1.068081E-02,9.082707E-04,9.488489E-03,1.618659E-02,1.387636E-02,1.554991E-02,1.108046E-02,1.315654E-02,1.027373E-02,8.632724E-04,9.556284E-03,2.634414E-03,2.208497E-03,2.510228E-03,1.712331E-03,2.065521E-03,1.589887E-03,1.271388E-04,1.407406E-03,2.503454E-03,2.099455E-03,2.380843E-03,1.641864E-03,1.970309E-03,1.529934E-03,1.271388E-04,1.407406E-03,
42859.8224884259,5.482601,.0172832,1.444627E-02,1.618148E-02,1.155893E-02,1.435812E-02,9.355791E-03,1.00438E-03,1.010164E-02,1.637202E-02,1.372267E-02,1.532893E-02,1.108046E-02,1.365993E-02,9.041888E-03,9.545801E-04,1.016944E-02,2.664958E-03,2.183388E-03,2.473858E-03,1.712331E-03,2.147273E-03,1.394744E-03,1.405862E-04,1.497708E-03,2.530764E-03,2.076819E-03,2.348298E-03,1.641864E-03,2.044447E-03,1.348514E-03,1.405862E-04,1.497708E-03,
