42859.8225,5.495501,1.690319E-02,.0143611,1.677104E-02,1.227008E-02,1.505611E-02,9.916143E-03,7.63614E-04,1.010164E-02,1.603206E-02,1.364582E-02,1.585589E-02,1.173275E-02,.0142903,9.564234E-03,7.263109E-04,1.016944E-02,2.608992E-03,2.170844E-03,2.560685E-03,1.817066E-03,2.250069E-03,1.477271E-03,1.069677E-04,1.497708E-03,2.480695E-03,2.065501E-03,2.425906E-03,1.73793E-03,2.137285E-03,1.425443E-03,1.069677E-04,1.497708E-03,
42859.8225,5.495501,1.690319E-02,.0143611,1.604867E-02,1.127974E-02,1.438317E-02,9.263112E-03,1.016697E-03,1.057764E-02,1.603206E-02,1.364582E-02,1.520993E-02,.0108235,.0136826,8.955296E-03,9.670311E-04,1.064544E-02,2.608992E-03,2.170844E-03,2.454298E-03,1.671212E-03,2.150962E-03,1.381095E-03,1.424199E-04,1.567811E-03,2.480695E-03,2.065501E-03,2.330773E-03,1.604019E-03,2.047786E-03,1.335761E-03,1.424199E-04,1.567811E-03,
42859.8225,5.521301,.0163177,1.344861E-02,1.593492E-02,1.140853E-02,.0149253,1.037023E-02,1.014101E-03,9.202083E-03,1.550665E-02,.0128197,1.510794E-02,1.094209E-02,1.417239E-02,9.986021E-03,9.670311E-04,9.269878E-03,2.522763E-03,2.036457E-03,2.437546E-03,1.69018E-03,2.230805E-03,1.544147E-03,1.424199E-04,1.365225E-03,2.403315E-03,1.943835E-03,2.315752E-03,1.621486E-03,2.119919E-03,1.487562E-03,1.424199E-04,1.365225E-03,
42859.8225115741,5.456801,1.745624E-02,1.382989E-02,1.633341E-02,1.197874E-02,1.392787E-02,1.016857E-02,1.012308E-03,9.202083E-03,1.652656E-02,1.316552E-02,1.546492E-02,.0114659,1.326991E-02,9.79887E-03,9.628808E-04,9.269878E-03,2.690442E-03,2.092611E-03,2.496233E-03,1.774158E-03,2.083908E-03,1.514447E-03,1.418087E-04,1.365225E-03,2.553523E-03,1.994765E-03,2.368326E-03,1.69863E-03,1.987007E-03,1.459999E-03,1.418087E-04,1.365225E-03,
42859.8225115741,5.431001,.0172832,1.380765E-02,1.581255E-02,1.197496E-02,1.545434E-02,1.041665E-02,1.091207E-03,9.007388E-03,1.637202E-02,1.314537E-02,1.499813E-02,1.146244E-02,1.464866E-02,1.002906E-02,1.038261E-03,9.075184E-03,2.664958E-03,2.089334E-03,2.419524E-03,1.773602E-03,2.30872E-03,1.550983E-03,1.529103E-04,1.336551E-03,2.530764E-03,1.991797E-03,2.29958E-03,1.698121E-03,2.190063E-03,.0014939,1.529103E-04,1.336551E-03,
42859.8225115741,5.547101,1.762946E-02,1.476611E-02,1.572661E-02,1.151594E-02,1.428298E-02,9.763101E-03,1.092942E-03,9.036693E-03,1.668109E-02,1.401085E-02,1.492095E-02,1.104093E-02,.0135919,9.421776E-03,1.037587E-03,9.104489E-03,2.715954E-03,2.230492E-03,2.406866E-03,.001706,2.136208E-03,1.454731E-03,1.528111E-04,1.340867E-03,2.576281E-03,2.119261E-03,2.288213E-03,1.636042E-03,2.034428E-03,1.404462E-03,1.528111E-04,1.340867E-03,
42859.8225231481,5.495501,1.700674E-02,1.476611E-02,1.578339E-02,1.205422E-02,1.467909E-02,1.042145E-02,9.870162E-04,9.661946E-03,1.612477E-02,1.401085E-02,1.497195E-02,1.153509E-02,1.395017E-02,1.003351E-02,9.379787E-04,9.729742E-03,2.624242E-03,2.230492E-03,2.415229E-03,1.785274E-03,2.194545E-03,1.551689E-03,1.381412E-04,1.432952E-03,2.49435E-03,2.119261E-03,2.295724E-03,1.708819E-03,2.087192E-03,1.494555E-03,1.381412E-04,1.432952E-03,
42859.8225231481,5.495501,1.717947E-02,1.363913E-02,1.578339E-02,1.205422E-02,1.335942E-02,1.058726E-02,9.853533E-04,9.553031E-03,.0162793,1.299261E-02,1.497195E-02,1.153509E-02,1.275292E-02,1.018714E-02,9.379787E-04,9.620827E-03,2.649681E-03,2.064516E-03,2.415229E-03,1.785274E-03,2.000189E-03,1.57611E-03,1.381412E-04,1.416911E-03,2.517109E-03,.0019693,2.295724E-03,1.708819E-03,1.910866E-03,1.517181E-03,1.381412E-04,1.416911E-03,
42859.8225231481,5.469701,1.724862E-02,1.470208E-02,1.604867E-02,1.151594E-02,1.358854E-02,1.043049E-02,8.387651E-04,9.553031E-03,1.634112E-02,1.395321E-02,1.520993E-02,1.104093E-02,1.296153E-02,1.004189E-02,7.968668E-04,9.620827E-03,2.659865E-03,2.221063E-03,2.454298E-03,.001706,2.033933E-03,1.553021E-03,1.173589E-04,1.416911E-03,2.526212E-03,2.110773E-03,2.330773E-03,1.636042E-03,1.94159E-03,1.495789E-03,1.173589E-04,1.416911E-03,
42859.8225231481,5.456801,1.724862E-02,1.470208E-02,1.618148E-02,1.158043E-02,1.317041E-02,1.031302E-02,9.654535E-04,9.310997E-03,1.634112E-02,1.395321E-02,1.532893E-02,1.110023E-02,1.258058E-02,9.932948E-03,9.172269E-04,9.378794E-03,2.659865E-03,2.221063E-03,2.473858E-03,1.715497E-03,1.972353E-03,1.53572E-03,1.35085E-04,1.381266E-03,2.526212E-03,2.110773E-03,2.348298E-03,1.644775E-03,1.885486E-03,1.479745E-03,1.35085E-04,1.381266E-03,
42859.8225347222,5.495501,1.762946E-02,.0149156,1.686634E-02,1.158043E-02,1.417786E-02,1.008739E-02,9.664121E-04,.0105615,1.668109E-02,1.414533E-02,1.594089E-02,1.110023E-02,1.349666E-02,9.723451E-03,9.172269E-04,.0106293,2.715954E-03,2.252509E-03,2.574721E-03,1.715497E-03,2.120726E-03,1.50249E-03,1.35085E-04,1.565434E-03,2.576281E-03,2.139067E-03,2.438424E-03,1.644775E-03,2.020402E-03,1.448892E-03,1.35085E-04,1.565434E-03,
42859.8225347222,5.495501,1.724862E-02,1.451018E-02,1.620046E-02,1.154818E-02,1.474438E-02,9.826099E-03,9.520295E-04,.0105615,1.634112E-02,.0137803,1.534593E-02,1.107058E-02,1.400913E-02,9.480434E-03,9.047759E-04,.0106293,2.659865E-03,2.192801E-03,2.476653E-03,1.710748E-03,2.204159E-03,1.464009E-03,1.332512E-04,1.565434E-03,2.526212E-03,2.085308E-03,2.350801E-03,1.640408E-03,2.095875E-03,1.413101E-03,1.332512E-04,1.565434E-03,
42859.8225347222,5.572901,1.790702E-02,1.376628E-02,1.580232E-02,1.154818E-02,1.390789E-02,1.010242E-02,9.125181E-04,1.009761E-02,1.692834E-02,1.310788E-02,1.498895E-02,1.107058E-02,1.325177E-02,9.737418E-03,8.674228E-04,.0101654,2.756831E-03,2.083241E-03,2.418017E-03,1.710748E-03,2.080965E-03,1.504704E-03,1.2775E-04,1.497114E-03,2.612695E-03,1.986277E-03,2.298227E-03,1.640408E-03,1.984335E-03,1.450949E-03,1.2775E-04,1.497114E-03,
42859.8225462963,5.495501,1.745624E-02,1.408463E-02,1.557528E-02,1.122611E-02,1.288239E-02,9.886122E-03,9.123568E-04,9.835403E-03,1.652656E-02,1.339606E-02,1.478496E-02,1.077408E-02,1.231755E-02,9.536301E-03,8.674228E-04,9.903199E-03,2.690442E-03,2.130128E-03,2.38458E-03,1.663314E-03,1.929934E-03,1.472849E-03,1.2775E-04,1.458498E-03,2.553523E-03,2.028719E-03,2.268185E-03,1.596742E-03,1.846748E-03,1.421329E-03,1.2775E-04,1.458498E-03,
42859.8225462963,5.443901,1.749087E-02,1.408357E-02,1.609702E-02,1.169505E-02,.0140975,1.037138E-02,9.479464E-04,1.017812E-02,1.655746E-02,1.339511E-02,1.525327E-02,1.120556E-02,1.342382E-02,9.987084E-03,9.012105E-04,1.024591E-02,2.695542E-03,2.129972E-03,2.461419E-03,1.732378E-03,2.108891E-03,1.544316E-03,1.327261E-04,1.508971E-03,2.558074E-03,2.028578E-03,2.337154E-03,1.660288E-03,2.009674E-03,1.487718E-03,1.327261E-04,1.508971E-03,
42859.8225462963,5.443901,1.749087E-02,1.418984E-02,1.682004E-02,1.169505E-02,1.410251E-02,1.046193E-02,9.481225E-04,1.025886E-02,1.655746E-02,1.349116E-02,.0158996,1.120556E-02,1.342835E-02,1.007103E-02,9.012105E-04,1.032665E-02,2.695542E-03,2.145622E-03,2.567902E-03,1.732378E-03,2.109628E-03,1.557652E-03,1.327261E-04,1.520862E-03,2.558074E-03,2.042724E-03,2.432344E-03,1.660288E-03,2.010342E-03,1.500082E-03,1.327261E-04,1.520862E-03,
42859.8225578704,5.508401,1.773349E-02,1.455281E-02,1.623844E-02,1.155893E-02,1.411283E-02,1.088319E-02,9.397404E-04,1.025089E-02,1.677381E-02,1.381873E-02,1.537992E-02,1.108046E-02,1.343771E-02,1.046088E-02,8.923249E-04,1.031869E-02,2.731275E-03,2.199078E-03,2.482246E-03,1.712331E-03,2.111147E-03,1.619693E-03,1.314175E-04,1.519689E-03,2.589937E-03,2.090967E-03,2.355808E-03,1.641864E-03,2.011719E-03,1.557497E-03,1.314175E-04,1.519689E-03,
42859.8225578704,5.456801,1.721404E-02,1.455281E-02,.0153297,1.138706E-02,1.428298E-02,1.002728E-02,9.738824E-04,9.988691E-03,1.631021E-02,1.381873E-02,1.456398E-02,1.092233E-02,.0135919,9.667586E-03,9.255277E-04,1.005649E-02,2.654772E-03,2.199078E-03,2.348412E-03,1.687018E-03,2.136208E-03,1.493638E-03,1.363075E-04,1.481073E-03,2.521661E-03,2.090967E-03,2.235639E-03,1.618575E-03,2.034428E-03,1.440664E-03,1.363075E-04,1.481073E-03,
42859.8225578704,5.534201,1.704127E-02,1.397844E-02,1.580232E-02,1.237814E-02,1.398783E-02,9.613219E-03,9.726316E-04,9.867675E-03,1.615568E-02,.0133,1.498895E-02,1.183158E-02,1.332433E-02,9.282111E-03,9.255277E-04,9.93547E-03,2.629328E-03,2.114488E-03,2.418017E-03,1.83298E-03,2.092738E-03,1.432657E-03,1.363075E-04,1.46325E-03,2.498902E-03,2.014571E-03,2.298227E-03,1.752486E-03,1.995022E-03,1.383893E-03,1.363075E-04,1.46325E-03,
42859.8225578704,5.495501,1.704127E-02,1.393598E-02,1.555638E-02,1.109748E-02,1.328478E-02,9.991225E-03,9.943657E-04,9.867675E-03,1.615568E-02,1.326158E-02,1.476796E-02,1.065548E-02,1.268489E-02,9.634065E-03,9.462794E-04,9.93547E-03,2.629328E-03,2.108235E-03,2.381795E-03,1.64437E-03,1.989197E-03,1.488328E-03,1.393637E-04,1.46325E-03,2.498902E-03,2.008912E-03,2.265682E-03,1.579275E-03,1.900848E-03,1.435727E-03,1.393637E-04,1.46325E-03,
42859.8225694444,5.495501,1.731779E-02,1.391476E-02,1.595387E-02,1.109748E-02,1.395285E-02,.0110556,9.424211E-04,9.399743E-03,1.640293E-02,1.324237E-02,1.512494E-02,1.065548E-02,1.329259E-02,.0106201,8.964752E-04,9.467539E-03,2.670053E-03,2.105109E-03,2.440337E-03,1.64437E-03,2.087587E-03,1.645084E-03,1.320288E-04,1.394336E-03,2.535316E-03,2.006083E-03,2.318255E-03,1.579275E-03,1.990346E-03,1.580946E-03,1.320288E-04,1.394336E-03,
42859.8225694444,5.469701,1.652409E-02,1.344861E-02,1.589702E-02,1.126901E-02,1.337435E-02,1.041843E-02,9.404295E-04,9.44815E-03,1.569209E-02,.0128197,1.507394E-02,1.081361E-02,1.276652E-02,1.003071E-02,8.964752E-04,9.515946E-03,2.55316E-03,2.036457E-03,2.431964E-03,1.669633E-03,2.002388E-03,1.551246E-03,1.320288E-04,1.401465E-03,2.430626E-03,1.943835E-03,2.310745E-03,1.602564E-03,1.91287E-03,1.494144E-03,1.320288E-04,1.401465E-03,
42859.8225694444,5.495501,1.762946E-02,.0134476,1.573678E-02,1.105115E-02,1.388753E-02,.0107188,1.030031E-03,1.056567E-02,1.668109E-02,1.281879E-02,.0149301,1.061274E-02,1.323329E-02,1.030888E-02,9.801183E-04,1.063347E-02,2.715954E-03,2.036309E-03,2.408365E-03,1.637548E-03,2.077966E-03,1.595482E-03,1.443473E-04,1.566048E-03,2.576281E-03,.0019437,2.28956E-03,1.572981E-03,1.981613E-03,1.535111E-03,1.443473E-04,1.566048E-03,
42859.8225810185,5.495501,1.735239E-02,1.414732E-02,1.535851E-02,1.105115E-02,1.475934E-02,1.005491E-02,9.915172E-04,1.014179E-02,1.643384E-02,1.345274E-02,1.458992E-02,1.061274E-02,1.402263E-02,9.69327E-03,9.427409E-04,1.020958E-02,2.675148E-03,2.139361E-03,2.352654E-03,1.637548E-03,2.206362E-03,1.497707E-03,1.388425E-04,1.50362E-03,2.539868E-03,2.037066E-03,2.23946E-03,1.572981E-03,2.097864E-03,1.444447E-03,1.388425E-04,1.50362E-03,
42859.8225810185,5.508401,1.731779E-02,1.416964E-02,1.514106E-02,1.087265E-02,1.402782E-02,1.034313E-02,7.682411E-04,1.013391E-02,1.640293E-02,1.347291E-02,1.439399E-02,1.044793E-02,1.336061E-02,9.960881E-03,7.304613E-04,1.020171E-02,2.670053E-03,2.142648E-03,2.32063E-03,1.611259E-03,2.098628E-03,1.540155E-03,1.07579E-04,1.502461E-03,2.535316E-03,2.040036E-03,2.210604E-03,1.548708E-03,2.000365E-03,1.483859E-03,1.07579E-04,1.502461E-03,
42859.8225810185,5.572901,1.697222E-02,1.416964E-02,1.549968E-02,1.154818E-02,.0133644,1.053901E-02,9.335841E-04,1.033561E-02,1.609387E-02,1.347291E-02,1.471697E-02,1.107058E-02,1.275745E-02,1.014244E-02,8.881745E-04,.0104034,2.619158E-03,2.142648E-03,2.373445E-03,1.710748E-03,2.000922E-03,1.569003E-03,1.308063E-04,1.532165E-03,2.489798E-03,2.040036E-03,2.258171E-03,1.640408E-03,1.911534E-03,1.510599E-03,1.308063E-04,1.532165E-03,
42859.8225925926,5.572901,1.776818E-02,1.414839E-02,1.621945E-02,1.152669E-02,1.326489E-02,.0100964,9.347624E-04,.0112876,1.680471E-02,.0134537,1.536292E-02,1.105081E-02,1.266675E-02,9.731831E-03,8.881745E-04,.0113554,2.736384E-03,2.139517E-03,2.479449E-03,1.707583E-03,1.986267E-03,1.503819E-03,1.308063E-04,1.672371E-03,2.594488E-03,2.037207E-03,2.353305E-03,1.637497E-03,1.898176E-03,1.450126E-03,1.308063E-04,1.672371E-03,
42859.8225925926,5.560001,1.808074E-02,1.410588E-02,1.597283E-02,1.141927E-02,1.404282E-02,9.805096E-03,8.390293E-04,.0112876,1.708287E-02,1.341528E-02,1.514194E-02,1.095198E-02,1.337422E-02,9.460881E-03,7.968668E-04,.0113554,2.782416E-03,2.133257E-03,2.443128E-03,1.691762E-03,2.100836E-03,1.460916E-03,1.173589E-04,1.672371E-03,2.635454E-03,2.031548E-03,2.320759E-03,1.622942E-03,2.002369E-03,1.410222E-03,1.173589E-04,1.672371E-03,
42859.8225925926,5.456801,1.839391E-02,1.457412E-02,1.595387E-02,1.141927E-02,1.404282E-02,9.499415E-03,9.626626E-04,1.006533E-02,1.736102E-02,1.383794E-02,1.512494E-02,1.095198E-02,1.337422E-02,9.175966E-03,9.130766E-04,1.013313E-02,2.828539E-03,2.202217E-03,2.440337E-03,1.691762E-03,2.100836E-03,1.415897E-03,1.344737E-04,1.492361E-03,2.676419E-03,2.093796E-03,2.318255E-03,1.622942E-03,2.002369E-03,1.368261E-03,1.344737E-04,1.492361E-03,
42859.8225925926,5.443901,1.686869E-02,1.393598E-02,1.570768E-02,1.164495E-02,1.366332E-02,1.009941E-02,9.592048E-04,1.033561E-02,1.600115E-02,1.326158E-02,1.490396E-02,1.115953E-02,1.302955E-02,9.734624E-03,9.130766E-04,.0104034,2.603911E-03,2.108235E-03,2.404079E-03,1.724999E-03,2.044947E-03,1.504261E-03,1.344737E-04,1.532165E-03,2.476143E-03,2.008912E-03,2.28571E-03,1.653508E-03,1.951608E-03,1.450537E-03,1.344737E-04,1.532165E-03,
42859.8226041667,5.521301,1.766413E-02,1.393598E-02,1.557528E-02,1.087265E-02,1.386294E-02,9.712123E-03,1.047765E-03,1.029123E-02,1.671199E-02,1.326158E-02,1.478496E-02,1.044793E-02,1.321096E-02,9.37429E-03,9.960836E-04,1.035903E-02,2.72106E-03,2.108235E-03,2.38458E-03,1.611259E-03,2.074345E-03,1.447223E-03,1.466986E-04,1.52563E-03,2.580833E-03,2.008912E-03,2.268185E-03,1.548708E-03,1.978324E-03,1.397469E-03,1.466986E-04,1.52563E-03,
42859.8226041667,5.560001,.0172832,1.346977E-02,1.514106E-02,1.087265E-02,1.530797E-02,1.046364E-02,1.046259E-03,1.040822E-02,1.637202E-02,1.283892E-02,1.439399E-02,1.044793E-02,1.451705E-02,1.007261E-02,9.960836E-04,1.047601E-02,2.664958E-03,2.039573E-03,2.32063E-03,1.611259E-03,2.287162E-03,1.557903E-03,1.466986E-04,1.542859E-03,2.530764E-03,1.946664E-03,2.210604E-03,1.548708E-03,2.17068E-03,1.500315E-03,1.466986E-04,1.542859E-03,
42859.8226041667,5.521301,.0172832,1.446649E-02,1.541519E-02,1.095482E-02,1.298595E-02,1.024471E-02,8.870811E-04,.0104163,1.637202E-02,.0137409,1.464095E-02,1.052382E-02,1.241219E-02,9.869559E-03,8.430679E-04,.0104841,2.664958E-03,2.186365E-03,2.361002E-03,1.62336E-03,1.945187E-03,1.52566E-03,1.241632E-04,1.54405E-03,2.530764E-03,2.079504E-03,2.246975E-03,1.559885E-03,1.860685E-03,1.47041E-03,1.241632E-04,1.54405E-03,
42859.8226157407,5.521301,1.735239E-02,1.446757E-02,1.546189E-02,1.076572E-02,1.316047E-02,1.037023E-02,9.390175E-04,9.770861E-03,1.643384E-02,1.374188E-02,1.468297E-02,.0103491,1.257151E-02,9.986021E-03,8.923249E-04,9.838657E-03,2.675148E-03,2.186525E-03,2.367879E-03,1.59551E-03,1.970889E-03,1.544147E-03,1.314175E-04,1.448992E-03,2.539868E-03,2.079649E-03,2.253164E-03,1.534153E-03,1.88415E-03,1.487562E-03,1.314175E-04,1.448992E-03,
42859.8226157407,5.482601,1.690319E-02,1.376524E-02,1.632497E-02,1.160903E-02,1.351329E-02,1.043778E-02,9.377861E-04,1.072715E-02,1.603206E-02,1.310695E-02,1.545737E-02,1.112652E-02,1.289305E-02,1.004864E-02,8.929044E-04,1.079495E-02,2.608992E-03,2.083089E-03,2.494991E-03,1.719709E-03,2.022851E-03,1.554094E-03,1.315028E-04,1.58983E-03,2.480695E-03,1.986139E-03,2.367214E-03,1.648647E-03,1.931505E-03,1.496785E-03,1.315028E-04,1.58983E-03,
42859.8226157407,5.508401,1.645526E-02,1.359575E-02,1.621095E-02,1.172732E-02,1.387754E-02,1.008803E-02,8.540309E-04,1.072715E-02,1.563027E-02,1.295326E-02,1.535532E-02,.0112352,1.322421E-02,9.724051E-03,8.139965E-04,1.079495E-02,2.543024E-03,2.058127E-03,2.478198E-03,1.73713E-03,2.076495E-03,1.502585E-03,1.198817E-04,1.58983E-03,2.421523E-03,1.963505E-03,2.352184E-03,1.664653E-03,1.980277E-03,1.44898E-03,1.198817E-04,1.58983E-03,
42859.8226273148,5.456801,1.742162E-02,1.361693E-02,1.621095E-02,1.172732E-02,1.365789E-02,1.013622E-02,1.025624E-03,1.011353E-02,1.649565E-02,1.297247E-02,1.535532E-02,.0112352,1.302461E-02,9.768822E-03,9.759653E-04,1.018132E-02,2.685343E-03,2.061246E-03,2.478198E-03,1.73713E-03,2.044146E-03,1.509683E-03,1.437357E-04,1.499458E-03,2.548971E-03,1.966334E-03,2.352184E-03,1.664653E-03,1.95088E-03,1.455574E-03,1.437357E-04,1.499458E-03,
42859.8226273148,5.456801,1.662739E-02,1.359575E-02,1.501887E-02,1.026097E-02,.0137477,1.016032E-02,1.024255E-03,1.011353E-02,1.578481E-02,1.295326E-02,1.428376E-02,9.881606E-03,1.310627E-02,9.791207E-03,9.759653E-04,1.018132E-02,2.568374E-03,2.058127E-03,2.302633E-03,1.521172E-03,2.057374E-03,1.513232E-03,1.437357E-04,1.499458E-03,2.444281E-03,1.963505E-03,2.19437E-03,1.465302E-03,1.962906E-03,1.458871E-03,1.437357E-04,1.499458E-03,
42859.8226273148,5.521301,.0168342,1.359677E-02,1.620046E-02,1.167721E-02,1.312569E-02,1.022573E-02,8.583656E-04,.0107511,1.597024E-02,1.295419E-02,1.534593E-02,1.118917E-02,1.253977E-02,9.851943E-03,8.176186E-04,1.081889E-02,2.59883E-03,2.058277E-03,2.476653E-03,1.729751E-03,1.965766E-03,1.522865E-03,1.204151E-04,1.593357E-03,2.471592E-03,1.963641E-03,2.350801E-03,1.657875E-03,1.879475E-03,1.467815E-03,1.204151E-04,1.593357E-03,
42859.8226273148,5.547101,1.652409E-02,1.359677E-02,1.589702E-02,1.167721E-02,1.455865E-02,1.011444E-02,1.014709E-03,1.088825E-02,1.569209E-02,1.295419E-02,1.507394E-02,1.118917E-02,1.384133E-02,9.748591E-03,9.670311E-04,1.095604E-02,2.55316E-03,2.058277E-03,2.431964E-03,1.729751E-03,2.176806E-03,1.506475E-03,1.424199E-04,1.613556E-03,2.430626E-03,1.963641E-03,2.310745E-03,1.657875E-03,2.071162E-03,1.452594E-03,1.424199E-04,1.613556E-03,
