GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),EuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),EuZRoll (°),EuZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),EuZ320 (µW/(cm² nm)),EuZ330 (µW/(cm² nm)),EuZ340 (µW/(cm² nm)),EuZ380 (µW/(cm² nm)),EuZ412 (µW/(cm² nm)),EuZ443 (µW/(cm² nm)),EuZ465 (µW/(cm² nm)),EuZ490 (µW/(cm² nm)),EuZ510 (µW/(cm² nm)),EuZ532 (µW/(cm² nm)),EuZ555 (µW/(cm² nm)),EuZ589 (µW/(cm² nm)),EuZ625 (µW/(cm² nm)),EuZ665 (µW/(cm² nm)),EuZ683 (µW/(cm² nm)),EuZ694 (µW/(cm² nm)),EuZ710 (µW/(cm² nm)),EuZ780 (µW/(cm² nm)),EuZ875 (µW/(cm² nm)),EuZTemp (°C),BioGPSPosition (position),BioShadePosition (position),Ed0Tilt (°),EdZTilt (°),EuZTilt (°),SolarZenithAngle (°),SolarAzimuthAngle (°)
43617.5676610069,06/01/2019 13:37:25,06/01/2019 01:37:25.911 PM,911,0.6675544,0.5796541,2.167225,-1.677691,-3.566888,3.63692,-3.917104,9.762415,18.89026,40.44912,42.88958,57.08821,103.5063,121.5604,131.4797,125.9816,121.5939,124.4013,123.8339,113.4673,109.6082,106.8907,98.34721,95.92519,96.9828,82.73711,63.13027,0.5670678,1.62825,2.70664,10.53672,28.98582,40.53126,54.40044,56.67211,54.99979,58.44623,58.14499,53.48826,46.52686,42.5546,37.75134,35.72976,31.52875,9.058155,1.554487,4.64723E-06,4.238222E-05,8.434272E-05,0.001794707,0.01418424,0.05015522,0.109755,0.1745247,0.2178567,0.2716099,0.3173733,0.3011692,0.1573721,0.1011353,0.08202209,0.0702311,0.03501908,0.0005790481,5.148976E-05,5.450994,0.0001985733,0.0003470177,0.0006121457,0.01737184,0.1097164,0.3323368,0.6351441,0.9738623,1.183413,1.523195,1.734119,1.550745,0.87282,0.5969439,0.4836006,0.3942672,0.2113719,0.006442443,0.0003097741,5.375983,-6631.29,-998,2.739735,-5.087415,-10.49114,42.85449,115.1805
43617.5676617593,06/01/2019 13:37:25,06/01/2019 01:37:25.976 PM,976,0.6523027,0.5659054,3.84705,-1.328101,-3.777001,4.127304,-4.337558,10.97035,18.89326,40.44409,42.86125,57.09933,103.5129,121.3895,131.4904,125.996,121.6121,124.436,123.8518,113.4877,109.6238,106.9034,98.36404,95.93089,96.99371,82.74915,63.14154,0.7183375,2.025631,3.415736,13.61182,37.3752,52.73288,70.01477,73.64336,72.51865,77.75238,77.55135,71.78868,62.6566,58.19293,51.86612,49.29948,43.73679,12.7791,2.339098,1.295787E-05,2.47933E-05,8.681128E-05,0.001920923,0.01474231,0.0519003,0.1115319,0.1785268,0.2234223,0.2784902,0.3247769,0.3070787,0.162994,0.1058268,0.08594515,0.07366943,0.03738561,0.0006501008,4.839395E-05,5.453768,0.0002356551,0.0003272749,0.0005592442,0.0165169,0.1120591,0.336893,0.6401269,0.9809234,1.18962,1.529356,1.740128,1.556268,0.8776798,0.6004925,0.486827,0.3973682,0.2139906,0.006864091,0.0003476749,5.365536,5000.028,-998,4.068546,-5.585886,-11.75848,42.85449,115.1805
43617.5676624769,06/01/2019 13:37:26,06/01/2019 01:37:26.038 PM,38,0.636235,0.5490252,1.887474,-1.677691,-4.057231,3.987165,-4.547872,11.04156,18.8985,40.46339,42.89592,57.11431,103.5855,121.7039,131.5898,126.0817,121.6993,124.5039,123.9244,113.5587,109.7003,106.9902,98.43457,96.00539,97.07403,82.81187,63.19181,0.8214943,2.318206,3.872148,15.49975,44.01583,62.83861,81.88923,87.64916,86.1824,95.23386,95.24883,89.23656,78.56886,73.91312,66.36735,63.4298,56.73217,16.85423,2.919718,1.171516E-05,3.620274E-05,8.371088E-05,0.001919172,0.01440685,0.05083759,0.1088201,0.1751451,0.2206503,0.276403,0.3240777,0.3032971,0.1603189,0.1041327,0.08478422,0.07157197,0.03613387,0.0006079261,5.426419E-05,5.461073,0.0002293241,0.0003751132,0.001182726,0.01810173,0.1163295,0.3439598,0.6498047,0.9906865,1.199094,1.540519,1.751096,1.565867,0.8855068,0.6077464,0.4930635,0.4029427,0.2188831,0.007687542,0.0003663807,5.36855,8,-998,2.524507,-5.679157,-11.89942,42.85449,115.1805
43617.5676639236,06/01/2019 13:37:26,06/01/2019 01:37:26.163 PM,163,0.622989,0.53215,2.936826,-0.6989553,-4.407657,3.917104,-4.758247,10.54349,18.91084,40.47995,42.90227,57.17222,103.6735,121.5734,131.7341,126.2152,121.8373,124.6421,124.0545,113.6983,109.8086,107.1062,98.54283,96.11886,97.18047,82.90696,63.26942,1.008855,2.82893,4.742136,18.99503,54.63589,74.92718,100.3364,105.7866,105.4074,112.8005,113.2498,105.602,93.32885,87.58046,78.16164,74.45024,66.22709,20.54811,4.076252,1.479605E-05,3.79963E-05,9.768474E-05,0.001804473,0.0137387,0.04876163,0.1053832,0.1703366,0.2153515,0.2709907,0.3189163,0.2982319,0.1558696,0.10061,0.08182042,0.06842234,0.0340737,0.000556862,5.126195E-05,5.461949,-0.0004227723,0.0004905327,0.0008093927,0.01745606,0.1142367,0.3390044,0.6431411,0.9804034,1.188311,1.529717,1.739344,1.554765,0.8761964,0.6005812,0.4861862,0.3972293,0.2146543,0.007479823,0.0003568674,5.37676,133724,-998,3.018572,-5.886484,-11.52404,42.85449,115.1805
43617.5676641088,06/01/2019 13:37:26,06/01/2019 01:37:26.179 PM,179,0.6103202,0.5187621,0.9785607,-0.6989553,-4.477761,3.917104,-4.688115,11.11278,18.92864,40.52589,42.94878,57.21519,103.828,121.989,131.9335,126.4184,122.0477,124.8715,124.2722,113.9069,110.0339,107.3071,98.72726,96.29639,97.37975,83.06703,63.40197,1.072665,2.966912,4.850277,18.50487,50.353,70.56516,92.75419,99.3989,97.13889,109.5797,109.0205,102.5943,90.2981,85.15603,77.29141,74.30409,67.57472,21.08727,4.598625,2.053065E-05,4.581862E-05,0.0001016521,0.001858152,0.01384743,0.0483635,0.1047552,0.1694377,0.2139703,0.2691133,0.3165626,0.2972665,0.1550426,0.09944999,0.08065504,0.06803598,0.03362865,0.0005732852,4.806037E-05,5.453166,0.0005648688,0.0006695679,0.0007812626,0.01735398,0.1118353,0.3330176,0.6327447,0.9688289,1.175919,1.514723,1.724407,1.540727,0.8653731,0.5910438,0.4781121,0.390029,0.209677,0.007161712,0.0003380774,5.373181,-6631.29,-998,1.202468,-5.938833,-12.01637,42.85449,115.1805
43617.567664838,06/01/2019 13:37:26,06/01/2019 01:37:26.242 PM,242,0.5971615,0.5044522,1.537848,0.2795763,-4.407657,4.407657,-4.898533,11.11278,18.95984,40.59772,43.03419,57.35347,104.0987,122.0901,132.3242,126.7869,122.4256,125.2635,124.6753,114.2742,110.4057,107.6567,99.04868,96.61736,97.69074,83.34824,63.61767,1.043994,2.814787,4.504599,16.15584,42.22106,60.66166,77.62671,80.59505,80.23161,84.43617,84.62646,78.75086,70.21464,66.64015,59.14411,56.47194,52.53382,17.91502,4.041055,1.46666E-05,4.333822E-05,0.0001067655,0.001898158,0.01385029,0.04822428,0.1026223,0.1665069,0.2114372,0.2667879,0.3145046,0.2929296,0.1522366,0.09777297,0.07963976,0.06627037,0.03284951,0.0005753955,4.746236E-05,5.457258,0.0001174758,0.0003257562,0.001100351,0.01787715,0.1134303,0.334331,0.6337541,0.9696208,1.176439,1.513936,1.723033,1.539435,0.8649296,0.590512,0.4780232,0.3896102,0.2098131,0.007365288,0.0003774559,5.374395,5000.028,-998,1.563031,-6.22113,-12.09593,42.85449,115.1805
43617.5676655671,06/01/2019 13:37:26,06/01/2019 01:37:26.305 PM,305,0.5849974,0.4908188,-0.3494712,0.3494712,-4.547872,4.828386,-5.179193,10.89917,18.98006,40.64053,43.09634,57.41233,104.2776,122.5085,132.526,127.0218,122.6433,125.521,124.9379,114.4925,110.6179,107.8705,99.25591,96.80851,97.91304,83.53001,63.76097,1.210834,3.248598,5.155922,18.05044,47.18137,63.96091,82.70595,87.4277,84.61359,93.27452,93.28431,87.1074,76.66673,71.99522,65.13213,62.55453,55.28902,19.40464,4.662532,8.841385E-06,4.67983E-05,0.0001211949,0.001895195,0.01408353,0.04831873,0.1029438,0.1656622,0.2101297,0.2648821,0.312733,0.2908635,0.1504387,0.09645807,0.07847154,0.06522877,0.03230859,0.0005851323,5.085921E-05,5.461041,0.0009060411,0.0005672259,0.001040648,0.01897198,0.1163872,0.3395725,0.6411294,0.9777874,1.184629,1.522045,1.731308,1.546757,0.8708404,0.5952395,0.482161,0.3933882,0.212854,0.007764977,0.0004058538,5.376161,8,-998,-0.4942207,-6.618298,-12.01453,42.85449,115.1805
43617.5676664699,06/01/2019 13:37:26,06/01/2019 01:37:26.383 PM,383,0.5717114,0.4780973,-0.1397877,1.328101,-4.828386,4.828386,-5.249377,10.68571,19.0097,40.70523,43.18853,57.53334,104.5033,122.5962,132.9041,127.3991,122.9978,125.8926,125.3028,114.8387,110.9397,108.1845,99.54888,97.09597,98.20305,83.78828,63.97667,1.243418,3.292786,5.165699,17.63927,44.82467,63.27561,80.69305,83.23189,82.81561,91.56653,87.55148,81.47495,72.75553,69.70058,61.6473,59.12295,56.73148,19.89489,4.840104,2.256301E-05,4.318104E-05,0.000117301,0.002159818,0.01510508,0.05029246,0.1078897,0.1710198,0.2151331,0.2684077,0.3161626,0.2968907,0.1544275,0.09878088,0.07976595,0.06786583,0.0336351,0.0006537262,5.511262E-05,5.458863,0.001088938,0.0005155908,0.001252361,0.02179966,0.1197766,0.346444,0.6515235,0.9895024,1.196417,1.536013,1.744159,1.558035,0.8794414,0.6021978,0.488197,0.3985814,0.2166719,0.008148619,0.0004443804,5.371163,133724,-998,-1.335432,-6.812296,-11.85279,42.85449,115.1805
43617.5676670139,06/01/2019 13:37:26,06/01/2019 01:37:26.43 PM,430,0.5590209,0.4646943,-1.677691,1.607768,-4.968687,4.968687,-5.530195,10.828,19.04271,40.78163,43.26168,57.66737,104.7799,123.1143,133.2904,127.8209,123.3924,126.302,125.7104,115.2223,111.3227,108.5539,99.89231,97.42767,98.56131,84.08862,64.21657,1.41157,3.781901,5.974844,21.47901,58.19609,79.03171,103.7562,112.7001,109.6407,118.5083,124.8117,113.1674,107.5632,102.0688,93.9588,90.45918,79.73143,30.25574,7.942048,2.269246E-05,5.594695E-05,0.0001333761,0.002279501,0.01587923,0.05242902,0.1103529,0.1755196,0.2201543,0.2754007,0.3230613,0.3028716,0.1583441,0.1019754,0.08268032,0.06998207,0.0353086,0.0007086083,5.657894E-05,5.463716,0.0001484275,-0.0002232456,0.001810742,0.02165674,0.1245796,0.3557463,0.665459,1.005305,1.212141,1.55488,1.761271,1.573261,0.8909186,0.6115602,0.4962437,0.4056823,0.2219667,0.008615262,0.0004958279,5.374357,-6631.29,-998,-2.323061,-7.009274,-12.09972,42.85449,115.1805
43617.5676677315,06/01/2019 13:37:26,06/01/2019 01:37:26.492 PM,492,0.5465911,0.4520128,-1.957407,2.447027,-5.038847,5.38977,-5.670653,11.25527,19.07804,40.86462,43.37246,57.8145,105.0882,123.2945,133.756,128.2398,123.8087,126.7516,126.1518,115.6289,111.725,108.9454,100.2584,97.78569,98.92294,84.40873,64.48644,1.204522,3.17775,4.923066,16.44998,42.10131,57.79465,74.47467,75.39809,74.50337,81.93684,79.14707,76.12591,65.68579,62.62932,55.79682,53.58075,49.60202,18.05689,4.527324,3.075715E-05,5.064164E-05,0.0001446904,0.002450169,0.01671653,0.05438419,0.1157752,0.1820399,0.227501,0.2837313,0.3314489,0.3138085,0.164681,0.1062299,0.08581273,0.07367136,0.03690541,0.0007646627,6.650275E-05,5.460291,0.0006513929,0.0004692712,0.00127417,0.02223861,0.1301088,0.3667382,0.681366,1.024247,1.231454,1.576318,1.782677,1.593015,0.9052697,0.6234019,0.506389,0.4152106,0.2283906,0.009189106,0.0004650635,5.381121,5000.028,-998,-3.132104,-7.358152,-12.53878,42.85449,115.1805
