GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),EuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),EuZRoll (°),EuZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),EuZ320 (µW/(cm² nm)),EuZ330 (µW/(cm² nm)),EuZ340 (µW/(cm² nm)),EuZ380 (µW/(cm² nm)),EuZ412 (µW/(cm² nm)),EuZ443 (µW/(cm² nm)),EuZ465 (µW/(cm² nm)),EuZ490 (µW/(cm² nm)),EuZ510 (µW/(cm² nm)),EuZ532 (µW/(cm² nm)),EuZ555 (µW/(cm² nm)),EuZ589 (µW/(cm² nm)),EuZ625 (µW/(cm² nm)),EuZ665 (µW/(cm² nm)),EuZ683 (µW/(cm² nm)),EuZ694 (µW/(cm² nm)),EuZ710 (µW/(cm² nm)),EuZ780 (µW/(cm² nm)),EuZ875 (µW/(cm² nm)),EuZTemp (°C),BioGPSPosition (position),BioShadePosition (position),Ed0Tilt (°),EdZTilt (°),EuZTilt (°),SolarZenithAngle (°),SolarAzimuthAngle (°)
43617.5731981597,06/01/2019 13:45:24,06/01/2019 01:45:24.321 PM,321,0.560356,0.4981691,-5.670653,0.4193665,0.5591593,3.426839,0.1397877,10.25924,18.03897,38.18833,40.04431,51.55649,91.59191,104.602,113.2311,107.2297,102.5764,104.4084,102.9538,93.43202,89.39213,86.19691,78.97682,76.99327,77.65874,65.41431,49.28785,1.365319,3.506794,5.29179,16.87226,39.6962,53.40509,67.5984,69.32236,67.07596,72.2664,71.7351,65.76764,58.51464,54.52383,48.7952,47.31351,43.03039,15.78043,4.092444,2.52685E-05,0.0001527237,0.0002271376,0.003932973,0.0241513,0.07064873,0.1186237,0.1816603,0.2261851,0.2790318,0.3246569,0.2835715,0.1594962,0.1096274,0.09270585,0.07459202,0.04369951,0.001962752,0.0001207299,5.412486,0.0001793792,0.001145842,0.001601403,0.02250913,0.1270343,0.3548383,0.651241,0.9643899,1.147312,1.458087,1.635314,1.45351,0.8335882,0.5731044,0.4648071,0.3846458,0.2141742,0.008880959,0.0004718317,5.445937,9,-998,-5.685937,3.471944,10.26015,41.70843,117.322
43617.5731997917,06/01/2019 13:45:24,06/01/2019 01:45:24.462 PM,462,0.5543044,0.4931036,-6.72524,-0.3494712,0.2795763,3.076806,0.1397877,10.61459,17.99209,38.09198,39.97285,51.35868,91.1856,104.2664,112.6386,106.725,102.0652,103.8917,102.4329,92.93184,88.92519,85.73537,78.549,76.56345,77.2272,65.04494,48.97677,1.356807,3.460604,5.187039,16.30628,38.29549,51.50116,64.61829,66.28673,64.0702,68.92805,68.11806,62.43915,55.83041,51.98566,46.5947,44.80863,41.3301,15.47609,4.144998,2.156625E-05,0.0001229115,0.0002059491,0.00353459,0.02256689,0.0668029,0.1137697,0.1763745,0.2207437,0.2732093,0.3184033,0.2761348,0.1542997,0.1054763,0.08993208,0.07029853,0.04048552,0.001591913,9.942809E-05,5.417393,0.000562055,0.00133188,0.002292902,0.02434405,0.1273541,0.3557496,0.6525711,0.964321,1.145194,1.45455,1.630558,1.448183,0.8309621,0.5714411,0.4631201,0.3831504,0.2131245,0.008464488,0.0004268683,5.432851,134522,-998,-6.734149,3.089433,10.61547,41.70843,117.322
43617.5731997917,06/01/2019 13:45:24,06/01/2019 01:45:24.462 PM,462,0.5461538,0.4855929,-4.057231,-0.2795763,0.4892626,4.197382,-0.2096819,10.4724,17.94435,37.99792,39.82952,51.20053,90.82302,103.6847,112.0964,106.2092,101.5842,103.3704,101.9236,92.46957,88.46417,85.28157,78.1263,76.16203,76.80193,64.68739,48.69405,1.550107,3.951788,5.958172,18.87935,45.25454,61.59998,76.71035,79.5631,77.50266,83.56093,82.22736,77.72134,66.18531,63.97587,56.94375,56.00074,49.5872,19.34772,5.407516,2.010347E-05,0.0001049458,0.0001950903,0.003305125,0.02132079,0.06431987,0.1104839,0.1718605,0.2155706,0.2677711,0.3123778,0.2717271,0.1500168,0.1019143,0.08606479,0.06814531,0.03843963,0.001369688,8.614986E-05,5.41418,0.0004389516,0.001171659,0.001656572,0.02643419,0.1333224,0.3670107,0.6689757,0.9812875,1.16055,1.469555,1.645548,1.46049,0.8428212,0.5823326,0.4721072,0.391881,0.2195612,0.009156578,0.0004827176,5.444134,-6631.536,-998,-4.066788,4.225599,-10.47441,41.70843,117.322
43617.5732005093,06/01/2019 13:45:24,06/01/2019 01:45:24.524 PM,524,0.5375719,0.4781974,-4.267467,-0.9086576,-0.1397877,4.407657,-0.6989553,10.25924,17.89911,37.89735,39.71323,50.99723,90.4622,103.3762,111.5801,105.7018,101.0843,102.8412,101.3688,91.98557,88.00362,84.82529,77.70292,75.75287,76.37695,64.32602,48.41039,1.509151,3.863102,5.81848,18.50631,43.42395,58.39415,74.10809,75.98202,73.43052,79.36417,79.01876,72.76386,66.43477,61.30438,55.58556,52.82556,49.55384,19.01392,5.195518,3.379921E-05,0.0001318558,0.0002386576,0.003844406,0.02374208,0.06890394,0.116691,0.179715,0.2237582,0.2771808,0.3210421,0.280163,0.1559821,0.1074566,0.09082255,0.0716889,0.04130714,0.001754926,0.0001147119,5.413408,0.001025471,0.0005907654,0.001908232,0.02427515,0.1325418,0.3672786,0.668264,0.9816912,1.1602,1.470447,1.642759,1.459681,0.8423938,0.5814679,0.4725045,0.3916472,0.220188,0.009084018,0.0004191062,5.439976,4959.988,-998,-4.362436,-4.409855,-10.28202,41.70592,117.3269
43617.5732012268,06/01/2019 13:45:24,06/01/2019 01:45:24.586 PM,586,0.5309197,0.4680563,-2.936826,-0.9086576,-0.4892626,4.898533,-1.537848,10.54349,17.85614,37.78261,39.59019,50.83234,90.11953,102.8904,111.082,105.2347,100.5916,102.349,100.8647,91.53686,87.57461,84.411,77.32021,75.38018,75.99044,63.99949,48.15403,1.486587,3.801025,5.711431,17.75642,41.00676,54.47177,68.85315,70.20791,67.34337,72.58764,71.78268,65.67825,58.17373,54.39137,49.40017,46.68953,43.43936,16.42635,4.41171,2.856946E-05,0.0001426858,0.0002413465,0.004018575,0.02513588,0.07315613,0.1234759,0.1893557,0.2343304,0.2895022,0.3335671,0.2926173,0.1652518,0.1148505,0.09778871,0.07769942,0.04520467,0.001880834,0.0001214283,5.405602,0.0006077791,0.0006742926,0.001913522,0.02101617,0.1338453,0.3690361,0.6705713,0.9827554,1.161224,1.46964,1.640542,1.455682,0.8409442,0.5814257,0.4717719,0.3912867,0.2197027,0.00910356,0.0004489713,5.443822,9,-998,-3.073714,-4.92267,-10.65012,41.70592,117.3269
43617.5732020602,06/01/2019 13:45:24,06/01/2019 01:45:24.658 PM,658,0.5219414,0.4568329,-2.167225,-0.6290568,-1.118372,5.109016,-1.887474,10.11721,17.81482,37.69596,39.50055,50.66663,89.75168,102.5884,110.6214,104.7854,100.0933,101.8824,100.4016,91.11303,87.16162,84.01003,76.95303,75.01022,75.61832,63.68424,47.90409,1.443966,3.688141,5.543669,17.49875,41.50434,56.50331,69.87526,72.06186,70.31057,75.69295,74.09973,68.92538,61.72379,57.304,50.54433,49.92318,45.87678,16.78835,4.562067,2.80646E-05,0.0001516687,0.0002659734,0.00443191,0.02743272,0.0784288,0.1335197,0.2029019,0.2496042,0.3070621,0.3515457,0.3081853,0.1776254,0.1252608,0.1073402,0.0852793,0.05066912,0.002298068,0.0001345642,5.420523,0.0003439861,0.0009598039,0.001420783,0.02362948,0.1365791,0.3729384,0.6764923,0.9891112,1.166421,1.474719,1.645564,1.461534,0.8458115,0.5849907,0.4755132,0.3946964,0.2229623,0.009568261,0.0004452323,5.445399,134522,-998,-2.256506,-5.228728,-10.28468,41.70592,117.3269
43617.5732028009,06/01/2019 13:45:24,06/01/2019 01:45:24.722 PM,722,0.5140474,0.4462357,-1.607768,-0.7688549,-1.817544,5.249377,-2.726888,11.61182,17.77729,37.6062,39.40668,50.4948,89.44278,102.1922,110.2276,104.381,99.71412,101.4694,99.99187,90.73362,86.80318,83.65194,76.61616,74.70421,75.29349,63.40366,47.68375,1.756967,4.571427,7.040465,23.5007,56.88211,77.34808,100.0342,103.8864,100.2938,109.0829,109.3399,101.0615,89.3319,84.92947,77.49482,73.23077,66.91978,25.64806,6.620808,2.706784E-05,0.0001600035,0.0002546445,0.00453947,0.02812919,0.08165243,0.1286247,0.1977373,0.2476111,0.3046974,0.354078,0.2987437,0.1718498,0.1201036,0.103275,0.07927214,0.04665073,0.002043216,0.0001378756,5.415921,0.0004579447,0.0009962522,0.001537922,0.02520155,0.1341461,0.3681164,0.6695067,0.9804444,1.157609,1.464087,1.634284,1.450164,0.8368518,0.5773428,0.4685172,0.3882757,0.2180493,0.00903665,0.0004334472,5.441846,-6631.536,-998,-1.781975,-5.551813,-11.91098,41.70592,117.3269
43617.5732042477,06/01/2019 13:45:24,06/01/2019 01:45:24.847 PM,847,0.5032209,0.4338951,0.06989381,-0.5591593,-2.726888,5.31957,-3.777001,12.11175,17.73695,37.51695,39.29547,50.34594,89.11462,101.9031,109.784,103.9579,99.27879,101.0226,99.55345,90.32818,86.41149,83.25508,76.27094,74.36003,74.94232,63.10686,47.44907,1.399573,3.557362,5.310729,16.40888,38.18441,51.71057,63.04181,64.32384,62.66774,67.07574,65.0259,60.06168,53.60806,49.44465,42.84981,42.89539,39.31635,14.05374,3.854639,4.33914E-05,0.0001572152,0.0002619032,0.004073736,0.02522206,0.07345236,0.1214994,0.1877098,0.2346772,0.2895104,0.3353458,0.2881719,0.1625733,0.1127096,0.09591732,0.07412901,0.04288593,0.001838603,0.0001245282,5.409963,0.0003988551,0.001137489,0.001596113,0.02596716,0.1384096,0.3758998,0.6807174,0.9912421,1.168622,1.476426,1.64522,1.460346,0.8431128,0.5837598,0.4733964,0.3929777,0.2219669,0.00962952,0.0004543196,5.426554,4959.988,-998,0.56351,-5.970655,-12.65426,41.70592,117.3269
43617.5732044213,06/01/2019 13:45:24,06/01/2019 01:45:24.862 PM,862,0.4944815,0.4221706,-0.5591593,0,-3.216805,5.31957,-4.127304,10.828,17.70276,37.43363,39.23755,50.17418,88.84351,101.671,109.4264,103.5735,98.92726,100.664,99.20381,89.99589,86.09927,82.9361,75.98547,74.08683,74.64323,62.86415,47.26076,1.513089,3.881067,5.857084,18.42862,41.29723,56.3877,72.41285,74.22038,70.70156,76.28825,76.08878,69.53912,60.74872,57.43934,52.56216,49.21053,46.22041,17.86817,4.813389,4.579915E-05,0.0001686504,0.0002778755,0.004101417,0.02529007,0.07312009,0.1221155,0.1872932,0.2334917,0.2880934,0.3333031,0.2885368,0.1631696,0.1122802,0.09533112,0.0754924,0.04357385,0.001891608,0.0001267168,5.407339,-0.0002377654,0.0009636006,0.00175868,0.02631169,0.1490267,0.3942831,0.7064733,1.019908,1.196703,1.507758,1.676399,1.487975,0.8659218,0.6031099,0.4904637,0.4085204,0.2349549,0.01159194,0.0006280204,5.444259,9,-998,-0.5591593,-6.207044,-11.55356,41.70592,117.3269
43617.5732050694,06/01/2019 13:45:24,06/01/2019 01:45:24.918 PM,918,0.4843196,0.4112428,1.887474,0.3494712,-4.197382,4.688115,-4.547872,9.478851,17.66993,37.36784,39.14156,50.05102,88.60801,101.345,109.0577,103.2211,98.60113,100.3214,98.86661,89.68893,85.80091,82.64059,75.7193,73.82621,74.37111,62.63742,47.07904,1.470002,3.727252,5.611068,17.10079,40.06026,53.84936,66.35381,67.7355,65.93571,70.78089,69.24262,64.00658,57.11245,53.49706,46.95884,46.33293,42.59108,16.29914,4.663303,3.836877E-05,0.0001753316,0.0002858836,0.004366512,0.02644647,0.07521891,0.1248891,0.1908109,0.2366653,0.2914838,0.3355843,0.2896376,0.1645932,0.1151248,0.09806421,0.07638406,0.04527765,0.002217167,0.0001348448,5.416381,0.000210331,0.001313656,0.002138731,0.03074716,0.1517129,0.3972437,0.7090429,1.023758,1.198784,1.509237,1.677831,1.488123,0.8681476,0.6040173,0.4916632,0.4099586,0.2356699,0.01195197,0.0006339366,5.440132,134523,-998,1.919508,-6.280134,-10.47803,41.70592,117.3269
