GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),BioGPS_Position (position),BioShade_Position (position)
42876.5419176042,05/21/2017 13:00:21,05/21/2017 01:00:21.681 PM,681,0.2296542,-16.07604,30.3336,-4.547872,-0.9086576,16.56015,31.06804,34.74592,48.52935,82.12836,90.23093,105.1439,101.3291,97.11837,99.83703,97.32927,89.62311,86.18296,83.98791,77.03643,75.40579,76.84483,65.00542,49.12005,2.656838,6.313374,8.675508,21.19827,46.19975,59.24002,71.43115,73.18266,69.24236,74.36788,73.05985,68.69843,62.94379,61.96954,55.4355,54.05896,52.88665,31.40474,15.02072,1.184647e-05,5.594013e-05,0.0001823978,0.002177098,0.01260945,0.03709308,0.0771566,0.1153157,0.1494064,0.1897897,0.2314695,0.2412453,0.1588935,0.1201935,0.1042523,0.09070887,0.05481041,0.003529131,0.0002960078,8.842344,130016,-998
42876.5419183218,05/21/2017 13:00:21,05/21/2017 01:00:21.743 PM,743,0.2401698,-17.24337,30.98363,-3.987165,0.7688549,16.52399,31.00466,34.65969,48.39833,81.90525,89.96207,104.8454,101.0293,96.8299,99.51284,97.0084,89.33233,85.88445,83.70365,76.76412,75.15041,76.58494,64.77973,48.94279,2.071211,5.041272,7.238511,19.36066,43.66927,57.84912,71.1442,70.82236,69.26948,73.25629,74.69853,70.0488,64.42482,61.45378,54.72462,55.37498,53.17477,28.63795,12.54742,1.536598e-05,2.525411e-05,0.0001441562,0.001929988,0.01179666,0.03677464,0.07658569,0.1156853,0.151252,0.1928987,0.2358123,0.2422457,0.1604254,0.1222101,0.1069881,0.09149686,0.05592679,0.003372343,0.000238783,8.660744,-6618.838,-998
42876.5419190394,05/21/2017 13:00:21,05/21/2017 01:00:21.805 PM,805,0.2512082,-18.12371,32.37999,-3.356823,3.006814,16.50608,30.97986,34.64849,48.32782,81.81796,89.82187,104.6947,100.8827,96.66339,99.34459,96.84889,89.16819,85.73441,83.54228,76.62218,74.99538,76.44855,64.6596,48.83948,1.580121,3.98803,5.79597,16.33485,37.74057,50.03996,60.70866,64.06796,59.60259,64.72523,61.74692,57.55826,51.54892,49.56773,45.65848,44.01482,41.62741,21.96184,8.691905,4.322877e-06,3.004504e-05,0.0001355086,0.001743441,0.01161078,0.03815207,0.07884391,0.1197551,0.157318,0.2001489,0.2438782,0.2471303,0.1648846,0.1273634,0.1122252,0.0950398,0.0593694,0.003367639,0.0002039944,8.91419,5005.659,-998
42876.5419197685,05/21/2017 13:00:21,05/21/2017 01:00:21.868 PM,868,0.2647748,-18.19726,33.7142,-2.796863,5.60042,16.50446,30.96967,34.57261,48.32449,81.84944,89.8598,104.7472,100.9258,96.73206,99.41193,96.8876,89.2084,85.78996,83.57354,76.6702,75.03963,76.48816,64.69806,48.85966,2.049505,5.613547,8.901201,34.07388,94.09416,139.9991,179.0328,204.5518,196.5202,221.3397,211.186,204.0563,181.4395,177.2163,176.3257,175.2811,155.0872,79.25591,28.58873,1.134915e-06,2.753364e-05,0.000131547,0.001691618,0.01284947,0.04237159,0.08611034,0.128882,0.1659485,0.2085179,0.2509094,0.2545238,0.1718857,0.1327082,0.1168406,0.1005472,0.06406405,0.003794316,0.0001987251,8.81496,10,-998
42876.5419206713,05/21/2017 13:00:21,05/21/2017 01:00:21.946 PM,946,0.2774495,-19.30446,32.46279,-2.167225,8.346861,16.51151,30.98418,34.62779,48.36059,81.88506,89.89998,104.8298,101.0345,96.8241,99.51501,96.98698,89.29986,85.88242,83.67296,76.75201,75.12311,76.57314,64.7757,48.91763,1.268143,3.360031,5.816213,20.22901,54.85221,78.76956,102.7481,99.28748,103.7131,107.7113,120.7389,114.7551,91.3286,101.5145,84.03587,78.22019,86.49593,35.95321,12.52518,1.224178e-05,3.154576e-05,0.0001167352,0.002058399,0.01421151,0.04356524,0.08718319,0.1277352,0.1613588,0.2010669,0.2387373,0.2455865,0.1655767,0.1257392,0.1087453,0.09645818,0.06045798,0.004051232,0.0002377348,8.862265,130016,-998
42876.5419213889,05/21/2017 13:00:22,05/21/2017 01:00:22.008 PM,8,0.2875589,-18.49181,32.96122,-1.537848,10.97035,16.54029,31.04205,34.71186,48.47283,82.11223,90.12528,105.1138,101.3406,97.12373,99.83136,97.30053,89.60175,86.17976,83.96618,77.02622,75.38684,76.84431,65.01504,49.10078,1.032861,2.787087,4.388347,15.4262,40.88726,58.90148,74.31219,78.82728,76.90636,83.35906,82.42456,78.42165,71.17469,68.87646,61.93237,59.90142,56.20543,25.68869,8.671449,-2.55037e-07,3.563446e-05,0.0001239489,0.001912713,0.01309143,0.03900636,0.07860231,0.1155905,0.1469728,0.1838493,0.2212425,0.2281453,0.151158,0.1134868,0.09722034,0.08651108,0.0529072,0.003447668,0.0002378576,8.984864,-6618.838,-998
42876.5419221181,05/21/2017 13:00:22,05/21/2017 01:00:22.071 PM,71,0.296409,-19.23042,32.29726,-0.8387555,13.32988,16.57521,31.11379,34.83085,48.60774,82.34939,90.45668,105.4476,101.6968,97.4767,100.2039,97.64732,89.93764,86.51665,84.30746,77.34649,75.70068,77.15627,65.2881,49.31551,0.9878662,2.65983,4.229551,14.74269,38.25884,55.70554,70.45724,72.97863,71.53664,76.68011,75.51875,71.17592,64.00824,62.53965,55.38749,53.28246,50.06684,22.22153,7.272292,5.228258e-06,3.447064e-05,8.170132e-05,0.001720061,0.01186799,0.03603804,0.07186459,0.1093305,0.1406046,0.1767706,0.2142252,0.2220293,0.1454638,0.1085045,0.09361254,0.08246402,0.04977144,0.003058161,0.0001929809,8.990413,5005.659,-998
42876.5419228356,05/21/2017 13:00:22,05/21/2017 01:00:22.133 PM,133,0.3070199,-19.15641,30.25265,-0.1397877,15.27749,16.62904,31.22476,34.88905,48.82615,82.7569,90.90732,106.0014,102.266,98.02782,100.8054,98.27334,90.47209,87.05305,84.85021,77.84975,76.19377,77.64897,65.72827,49.65454,0.9420922,2.561237,4.013195,14.52637,41.0364,56.17143,70.45724,78.24709,75.32613,83.15381,85.8127,81.25185,72.53384,65.81836,61.38728,61.62593,58.28833,25.48341,8.46203,6.911504e-06,2.949376e-05,8.700813e-05,0.001624464,0.01161188,0.03589775,0.06974896,0.1069095,0.1386396,0.1762545,0.2151874,0.2202325,0.1437862,0.1080152,0.09408879,0.08070794,0.04913593,0.003224206,0.0001986432,8.77374,10,-998
42876.5419235532,05/21/2017 13:00:22,05/21/2017 01:00:22.195 PM,195,0.3198461,-18.27085,28.96632,0.6290568,16.95086,16.70258,31.37026,35.14643,49.11208,83.30623,91.54749,106.7985,103.0174,98.77524,101.5754,99.06398,91.21551,87.76562,85.54839,78.49981,76.8296,78.30274,66.29344,50.10117,1.140845,3.144831,5.081428,19.54897,54.44635,81.70688,103.7098,112.586,111.8186,121.8541,122.2387,117.1403,108.0691,105.749,95.452,92.44939,87.44752,40.35465,13.88434,-1.249682e-06,1.68142e-05,7.701536e-05,0.001584574,0.01128062,0.03536912,0.06989247,0.1059027,0.1379438,0.1763804,0.2156209,0.2209113,0.1437083,0.1080769,0.09386946,0.08015563,0.04885752,0.003119209,0.000200674,8.817207,130016,-998
42876.541924456,05/21/2017 13:00:22,05/21/2017 01:00:22.273 PM,273,0.3333079,-17.31656,26.05022,1.18828,18.19726,16.78399,31.53138,35.25853,49.42653,83.8812,92.25747,107.6131,103.8472,99.59119,102.4461,99.94268,92.01305,88.5468,86.33868,79.24191,77.54681,79.02181,66.9279,50.59146,1.044434,2.80755,4.507418,16.30882,42.94993,64.77753,79.76595,86.92234,86.73185,93.27751,92.71809,88.5647,81.72375,81.23003,72.11209,69.5383,65.91859,30.83975,10.8032,-3.442998e-07,1.701328e-05,6.35931e-05,0.001567647,0.01117496,0.03542745,0.07242932,0.1076421,0.1403975,0.1799276,0.219312,0.2260934,0.1467962,0.1104895,0.09568916,0.08145092,0.04998792,0.003013216,0.0001985245,8.968578,-6618.838,-998
