[DateTime],DateTimeUTC,Millisecond,[GpsTime],Latitude,Longitude,SatelliteCount
5/21/2017 11:44:26 AM,05/21/2017 11:44:26.987 AM,0,5/21/2017 11:42:20 AM,50.1881499926249,-66.3743500073751,11
5/21/2017 11:44:27 AM,05/21/2017 11:44:27.253 AM,254,5/21/2017 11:44:21 AM,50.1847166697184,-66.3680333455404,11
5/21/2017 11:44:27 AM,05/21/2017 11:44:27.767 AM,778,5/21/2017 11:44:22 AM,50.1846999963125,-66.367983341217,11
5/21/2017 11:44:28 AM,05/21/2017 11:44:28.813 AM,1826,5/21/2017 11:44:23 AM,50.1846500078837,-66.3679333368937,11
5/21/2017 11:44:29 AM,05/21/2017 11:44:29.873 AM,2875,5/21/2017 11:44:24 AM,50.1846333344777,-66.3678833325704,11
5/21/2017 11:44:30 AM,05/21/2017 11:44:30.919 AM,3920,5/21/2017 11:44:25 AM,50.1846000035604,-66.3678333282471,11
5/21/2017 11:44:31 AM,05/21/2017 11:44:31.699 AM,4710,5/21/2017 11:44:26 AM,50.184566672643,-66.3677833239237,11
5/21/2017 11:44:32 AM,05/21/2017 11:44:32.744 AM,5752,5/21/2017 11:44:27 AM,50.1845333258311,-66.3677333196004,11
5/21/2017 11:44:33 AM,05/21/2017 11:44:33.789 AM,6802,5/21/2017 11:44:28 AM,50.1845166683197,-66.3676833470662,11
5/21/2017 11:44:34 AM,05/21/2017 11:44:34.834 AM,7844,5/21/2017 11:44:29 AM,50.1844833374023,-66.3676333427429,11
5/21/2017 11:44:35 AM,05/21/2017 11:44:35.879 AM,8892,5/21/2017 11:44:30 AM,50.184450006485,-66.3675833384196,11
5/21/2017 11:44:36 AM,05/21/2017 11:44:36.675 AM,9679,5/21/2017 11:44:31 AM,50.1844166596731,-66.3675333340963,11
5/21/2017 11:44:37 AM,05/21/2017 11:44:37.72 AM,10723,5/21/2017 11:44:32 AM,50.1843833287557,-66.367483329773,11
5/21/2017 11:44:38 AM,05/21/2017 11:44:38.765 AM,11772,5/21/2017 11:44:33 AM,50.1843666712443,-66.3674500147502,11
