GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),BioGPS_Position (position),BioShade_Position (position)
42876.5448055903,05/21/2017 13:04:31,05/21/2017 01:04:31.203 PM,203,0.2605422,2.58695,-6.72524,1.25819,6.162531,18.09074,33.91016,38.01426,53.9702,91.53682,101.198,118.0548,114.1463,109.3805,112.7296,110.2223,101.8472,97.88383,95.46787,87.76131,85.97096,87.71078,74.53297,56.67971,3.787073,8.453551,10.99885,23.64878,47.85248,59.006,70.90014,70.61908,67.39077,72.1785,70.6399,66.85268,61.02527,59.68803,54.05282,52.66812,51.82215,33.25321,17.34033,1.646264e-05,3.053507e-05,9.462309e-05,0.001636188,0.01099681,0.03401965,0.07346458,0.1109324,0.1422736,0.1795615,0.2181105,0.2311876,0.1499738,0.1113722,0.09528656,0.08465262,0.05033156,0.00254314,0.0002269507,8.760481,10,-998
42876.5448063079,05/21/2017 13:04:31,05/21/2017 01:04:31.265 PM,265,0.2761319,3.566888,-7.359069,0.6290568,6.654867,18.08844,33.91567,38.02245,53.95662,91.52293,101.1336,117.9928,114.1024,109.3612,112.6958,110.2045,101.827,97.86409,95.4346,87.72957,85.93539,87.6868,74.5201,56.66963,3.503332,8.144763,10.93932,25.54574,56.56281,72.85641,89.90839,91.74492,85.75345,91.16178,94.27686,85.60517,81.67075,78.11691,70.76537,71.73327,69.48315,41.7673,21.74146,-2.461107e-06,3.301585e-05,0.0001060772,0.001435003,0.009618751,0.03049121,0.06682258,0.1020006,0.1324171,0.1687357,0.2069267,0.2190187,0.1407879,0.1038548,0.08913102,0.07842611,0.04596145,0.002187969,0.0001848171,8.885356,130425,-998
42876.5448072106,05/21/2017 13:04:31,05/21/2017 01:04:31.343 PM,343,0.2862472,1.957407,-6.092237,-0.06989381,7.359069,18.08399,33.89914,37.98925,53.9506,91.48664,101.1578,117.9501,114.0691,109.3045,112.6338,110.1429,101.7638,97.80589,95.37868,87.68286,85.89509,87.63747,74.47487,56.63502,3.235379,7.647787,10.65717,27.86274,62.96229,83.04604,100.9446,101.4249,101.1463,108.3637,107.7547,103.0305,94.65054,93.00471,84.41846,81.89266,80.01336,47.68251,22.34225,1.330018e-05,2.267926e-05,9.027501e-05,0.001454359,0.009541016,0.02987819,0.06450321,0.09826197,0.1285395,0.1646625,0.202929,0.2132154,0.1370597,0.1017794,0.08770914,0.07663168,0.04551047,0.002527631,0.00020363,8.480999,-6618.851,-998
42876.5448079398,05/21/2017 13:04:31,05/21/2017 01:04:31.406 PM,406,0.2955229,2.377071,-6.514151,-0.8387555,8.488172,18.06758,33.85698,37.9733,53.85027,91.3769,100.9883,117.7629,113.865,109.1254,112.4443,109.9468,101.5981,97.63531,95.20547,87.51543,85.73537,87.47961,74.34286,56.52965,2.421214,5.849911,8.143842,21.60556,48.28579,62.43876,76.86559,79.06597,78.1348,81.24036,80.84017,78.18287,69.99693,69.95342,62.51151,59.84082,58.21878,33.43391,14.52312,2.152513e-05,2.266395e-05,9.561139e-05,0.001449225,0.009262581,0.02869643,0.06164948,0.09456313,0.1244767,0.1599614,0.1978719,0.207689,0.1326531,0.09821691,0.08505242,0.07324155,0.04340846,0.002503587,0.0001914047,7.979291,5005.587,-998
42876.5448086574,05/21/2017 13:04:31,05/21/2017 01:04:31.468 PM,468,0.3047695,0.9785607,-5.109016,-1.46793,10.04622,18.05094,33.81931,37.91769,53.79947,91.2061,100.8065,117.5868,113.663,108.9286,112.2251,109.7298,101.3974,97.44508,95.02401,87.34144,85.56977,87.3064,74.19556,56.41652,2.14237,5.346015,7.706902,21.6893,51.73928,70.24361,86.54881,89.68481,85.50418,93.9887,92.92706,88.30077,80.33341,77.58031,70.27731,69.24335,66.38115,35.80735,15.22506,9.563887e-06,1.37515e-05,0.000105545,0.001369722,0.008783626,0.02802415,0.0595107,0.09248306,0.1228642,0.1590605,0.1977327,0.206221,0.1321058,0.09830058,0.08516545,0.07311628,0.04311371,0.002407517,0.0001739551,8.355023,10,-998
42876.5448093866,05/21/2017 13:04:31,05/21/2017 01:04:31.531 PM,531,0.3116606,1.25819,-4.898533,-2.097282,11.82596,18.02834,33.78027,37.86294,53.66652,91.00925,100.5611,117.2932,113.3983,108.6494,111.9583,109.4553,101.1501,97.20665,94.78342,87.12775,85.36189,87.09152,74.00739,56.25371,1.781242,4.547145,6.667022,20.11502,47.71522,63.49428,79.27796,82.90766,80.97768,85.72412,85.8371,80.57046,74.11693,72.15572,65.50353,62.6923,60.57282,31.75527,12.3802,1.03545e-05,1.935623e-05,0.0001069641,0.001462614,0.009598699,0.03010464,0.06191002,0.09552574,0.1270019,0.1644604,0.203756,0.2100214,0.136437,0.1027051,0.08872236,0.07697893,0.04599607,0.002638663,0.0001817791,8.537232,130426,-998
42876.5448101042,05/21/2017 13:04:31,05/21/2017 01:04:31.593 PM,593,0.3231343,0.06989381,-3.706957,-2.58695,13.61737,17.99326,33.72066,37.77327,53.50833,90.68858,100.2559,116.8857,112.9861,108.2233,111.5505,109.041,100.7739,96.81342,94.41578,86.78684,85.02967,86.74902,73.71868,56.01258,1.348499,3.482934,5.174003,15.86441,39.17257,54.564,68.08146,71.10442,68.39673,75.09799,74.52907,71.41236,64.07316,61.81853,55.61851,54.8836,52.06696,25.92289,9.758492,5.011478e-06,2.978471e-05,8.882635e-05,0.001579648,0.01030621,0.03212963,0.06412104,0.09878363,0.1310607,0.1697882,0.209766,0.2139402,0.139734,0.105903,0.092568,0.07906617,0.04800051,0.003094556,0.0002021643,8.495221,-6618.851,-998
42876.5448110069,05/21/2017 13:04:31,05/21/2017 01:04:31.671 PM,671,0.335774,-0.4193665,-2.866842,-3.006814,14.91552,17.95608,33.63376,37.68316,53.3242,90.37495,99.84666,116.4199,112.5707,107.8086,111.1222,108.6116,100.3718,96.39616,94.03538,86.42321,84.6782,86.39702,73.4164,55.76726,1.251812,3.335923,5.213082,18.0657,47.95191,69.27494,88.36467,93.47855,90.97713,100.7896,100.8527,96.18324,87.01494,83.85114,76.25958,74.73331,70.38926,33.09822,11.81775,2.014792e-05,3.878904e-05,9.605485e-05,0.00179228,0.01187038,0.03697107,0.07055405,0.109495,0.1430513,0.1830136,0.2229223,0.2266899,0.1500836,0.1149509,0.1007962,0.08671132,0.05414135,0.003866168,0.0002312742,8.725945,5005.587,-998
42876.5448117245,05/21/2017 13:04:31,05/21/2017 01:04:31.733 PM,733,0.3485886,-0.6290568,-1.817544,-3.356823,15.93061,17.91887,33.57671,37.55813,53.1498,90.09122,99.46266,115.9788,112.1334,107.3899,110.6787,108.1786,99.9561,95.99495,93.63258,86.05511,84.32586,86.02592,73.08654,55.51608,1.004432,2.730701,4.371374,16.24101,43.19737,63.35918,79.01363,86.003,85.66891,90.19113,90.76957,85.92831,79.73598,77.01728,66.38975,66.02325,63.79204,28.23234,9.164653,7.957155e-06,8.743996e-06,8.609163e-05,0.001938104,0.01306223,0.03915761,0.07981127,0.1174319,0.1505612,0.1887656,0.2274191,0.2370879,0.1566707,0.1186567,0.1026256,0.09060629,0.05647095,0.003672234,0.0002712665,8.845174,10,-998
42876.5448124537,05/21/2017 13:04:31,05/21/2017 01:04:31.796 PM,796,0.3591236,-1.607768,-0.4892626,-3.426839,16.80478,17.88076,33.48586,37.44044,52.97565,89.79275,99.13012,115.5197,111.6925,106.9371,110.2407,107.7232,99.54512,95.59334,93.20737,85.68552,83.96114,85.66373,72.78262,55.26174,0.8630354,2.384394,3.939591,15.3162,43.14729,62.71243,82.71483,85.03233,81.2568,92.75361,92.12181,86.56454,74.82937,71.52077,67.65379,64.00121,57.8202,25.7342,7.715063,1.925529e-06,2.096415e-05,8.115437e-05,0.001741567,0.01240922,0.03774787,0.07943171,0.1160066,0.1479399,0.1856192,0.2245309,0.2354649,0.1544352,0.1161977,0.100632,0.08837015,0.05442991,0.003230628,0.0002471434,8.503391,130426,-998
