[Header]
HydroSoftVersion=2.95
CreationDate=06/01/19 20:33:02
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 136
CalSource=HydroScat-6
Serial=HS100649
Config=B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb394"
"bb470"
"bb420"
"bb700"
"bb532"
"bb620"
"fl470"
"fl700"
[ColumnHeadings]
Time,Depth,bb394,bb470,bb420,bb700,bb532,bb620,fl470,fl700,bb394uncorr,bb470uncorr,bb420uncorr,bb700uncorr,bb532uncorr,bb620uncorr,fl470uncorr,fl700uncorr,betabb394,betabb470,betabb420,betabb700,betabb532,betabb620,betafl470,betafl700,betabb394uncorr,betabb470uncorr,betabb420uncorr,betabb700uncorr,betabb532uncorr,betabb620uncorr,betafl470uncorr,betafl700uncorr
[Data]
43617.5756365741,-.1613601,-2.438854E-04,1.710458E-04,-8.978961E-05,1.663146E-03,7.354189E-04,-3.526505E-04,-1.650172E-04,8.642641E-03,-2.424446E-04,1.718867E-04,-8.85078E-05,1.653226E-03,7.347232E-04,-3.533476E-04,-1.659581E-04,8.617341E-03,2.340446E-05,5.290515E-05,3.179676E-05,2.500458E-04,1.245929E-04,-4.359715E-05,-2.444154E-05,1.269122E-03,2.361678E-05,5.302907E-05,3.198566E-05,2.485839E-04,1.244904E-04,-4.369987E-05,-2.444154E-05,1.269122E-03,
43617.5756481481,3.333988E-02,-4.027047E-04,2.651366E-04,4.484574E-04,-5.848528E-04,-1.100505E-04,2.233791E-02,6.09379E-04,2.835877E-03,-4.027047E-04,2.660338E-04,4.513877E-04,-5.863964E-04,-1.100505E-04,2.066196E-02,6.129221E-04,2.839844E-03,0,6.677087E-05,1.111157E-04,-8.123135E-05,0,3.300205E-03,9.026835E-05,4.182392E-04,0,6.690309E-05,1.115475E-04,-8.145883E-05,0,3.053228E-03,9.026835E-05,4.182392E-04,
43617.5756597222,8.525988E-02,-8.488014E-05,3.14202E-04,-3.274029E-04,1.744974E-03,8.930693E-05,2.917425E-03,4.723866E-03,6.633232E-03,-8.218455E-05,3.151016E-04,-3.275525E-04,1.734024E-03,8.962663E-05,2.887813E-03,4.748103E-03,6.612781E-03,4.683633E-05,7.400141E-05,-3.219195E-06,2.621044E-04,2.937838E-05,4.382987E-04,6.992788E-04,.0009739,4.723356E-05,7.413398E-05,-3.241252E-06,2.604907E-04,2.942549E-05,4.339349E-04,6.992788E-04,.0009739,
43617.5756712963,5.929988E-02,5.956359E-05,-1.489734E-04,-2.524906E-04,1.071703E-02,7.233977E-04,-4.458236E-05,-8.125497E-05,-5.792421E-04,6.323664E-05,-1.488339E-04,-2.521423E-04,1.030264E-02,7.227493E-04,-4.456798E-05,-8.172294E-05,-5.679689E-04,6.812232E-05,5.745421E-06,7.820277E-06,1.584274E-03,1.228214E-04,1.80142E-06,-1.203578E-05,-8.364785E-05,6.86636E-05,5.765976E-06,7.87161E-06,1.523208E-03,1.227258E-04,1.803539E-06,-1.203578E-05,-8.364785E-05,
43617.5756828704,7.227989E-02,-3.762478E-04,-1.508302E-04,-2.774661E-04,5.364939E-04,1.718677E-03,-4.763851E-05,-3.40996E-04,8.1201E-05,-3.759947E-04,-1.506971E-04,-2.77279E-04,5.356155E-04,1.710481E-03,-4.762761E-05,-3.432364E-04,8.113842E-05,3.89884E-06,5.47179E-06,4.139752E-06,8.401627E-05,2.694911E-04,1.351049E-06,-5.055028E-05,1.194969E-05,3.93613E-06,5.491406E-06,4.167323E-06,8.388682E-05,2.682833E-04,1.352654E-06,-5.055028E-05,1.194969E-05,
43617.5756944444,9.823988E-02,-3.233183E-04,-2.232254E-04,-1.306669E-04,4.663437E-04,-7.688641E-04,9.748188E-04,-1.246207E-03,-1.907965E-03,-3.225747E-04,-2.233617E-04,-1.296005E-04,4.657083E-04,-7.72062E-04,9.720364E-04,-1.254447E-03,-1.906753E-03,1.16988E-05,-5.19675E-06,2.577287E-05,7.367857E-05,-9.708628E-05,1.520258E-04,-1.847492E-04,-2.808178E-04,1.180839E-05,-5.216835E-06,2.593001E-05,7.358493E-05,-9.755755E-05,1.516158E-04,-1.847492E-04,-2.808178E-04,
43617.5757060185,7.227989E-02,1.238143E-05,-1.601139E-04,-2.118953E-04,6.568395E-04,9.641117E-03,-5.53972E-04,4.590409E-04,2.558424E-03,1.575217E-05,-1.60013E-04,-2.11295E-04,6.554563E-04,9.323478E-03,-5.555277E-04,4.617347E-04,2.55586E-03,6.116931E-05,4.103696E-06,1.380262E-05,1.01751E-04,1.436984E-03,-7.326495E-05,6.800215E-05,3.764153E-04,6.166604E-05,4.118554E-06,1.389108E-05,1.015472E-04,1.390175E-03,-7.349422E-05,6.800215E-05,3.764153E-04,
43617.5757175926,8.525988E-02,-1.408358E-04,-2.380707E-04,-3.92916E-04,7.371319E-04,-3.849551E-04,1.153504E-03,-3.573287E-04,2.246075E-02,-1.385604E-04,-2.382672E-04,-3.935365E-04,7.353502E-04,-3.858886E-04,1.149423E-03,-3.59581E-04,2.243477E-02,3.85904E-05,-7.384433E-06,-1.287356E-05,1.135834E-04,-4.05114E-05,1.783578E-04,-5.295743E-05,3.30409E-03,3.892571E-05,-7.413398E-06,-1.296501E-05,1.133208E-04,-4.064898E-05,1.777564E-04,-5.295743E-05,3.30409E-03,
43617.5757291667,8.525988E-02,-2.968459E-04,-1.378319E-04,-4.11628E-04,4.964034E-04,1.10284E-04,-5.680653E-05,-6.618079E-04,3.653762E-04,-2.958647E-04,-1.376547E-04,-4.123891E-04,4.956685E-04,1.1062E-04,-5.680653E-05,-6.66042E-04,3.651229E-04,1.559993E-05,7.387287E-06,-1.563107E-05,7.810833E-05,3.246968E-05,0,-9.809161E-05,5.377362E-05,1.574452E-05,7.413398E-06,-1.574322E-05,7.800003E-05,3.251918E-05,0,-9.809161E-05,5.377362E-05,
43617.5757407407,8.525988E-02,-3.292004E-04,1.35519E-04,3.577595E-04,1.261527E-04,-3.964059E-04,4.760008E-04,4.874479E-05,2.393534E-03,-3.285102E-04,1.36321E-04,3.605663E-04,1.261593E-04,-3.973908E-04,4.755707E-04,4.903377E-05,2.393583E-03,1.083199E-05,4.766973E-05,9.774998E-05,2.354621E-05,-4.219886E-05,7.851733E-05,7.221468E-06,3.525159E-04,1.09337E-05,4.778792E-05,9.816362E-05,2.354718E-05,-4.2344E-05,7.845395E-05,7.221468E-06,3.525159E-04,
43617.5757523148,9.823988E-02,-2.703682E-04,-2.955802E-04,8.842115E-04,-6.707818E-04,-5.173298E-05,5.527313E-04,3.977953E-03,2.67338E-03,-2.691547E-04,-2.960262E-04,8.868673E-04,-6.727795E-04,-5.160843E-05,5.520617E-04,4.004424E-03,2.677568E-03,1.950181E-05,-1.585934E-05,1.753308E-04,-9.389431E-05,8.593985E-06,8.982475E-05,5.897532E-04,3.943398E-04,1.968065E-05,-1.592508E-05,1.757221E-04,-9.418871E-05,8.612339E-06,8.972608E-05,5.897532E-04,3.943398E-04,
43617.5757638889,.1241999,-2.968459E-04,-1.935297E-04,-2.118953E-04,-1.633053E-04,4.414719E-04,4.760008E-04,-1.299115E-03,1.702918E-03,-2.958647E-04,-1.935505E-04,-2.11295E-04,-1.63456E-04,4.416257E-04,4.755707E-04,-1.307567E-03,1.703907E-03,1.559993E-05,-8.206335E-07,1.380262E-05,-1.910988E-05,8.127529E-05,7.851733E-05,-1.925725E-04,2.509436E-04,1.574452E-05,-8.237109E-07,1.389108E-05,-1.913208E-05,8.129796E-05,7.845395E-05,-1.925725E-04,2.509436E-04,
43617.575775463,7.227989E-02,-3.233183E-04,-1.155461E-04,-1.603523E-04,5.583695E-03,2.079651E-03,3.71719E-04,-2.842103E-04,1.512516E-02,-3.225747E-04,-1.152964E-04,-1.594504E-04,5.469063E-03,2.066917E-03,3.71543E-04,-2.860303E-04,1.497004E-02,1.16988E-05,1.067144E-05,2.139827E-05,8.277987E-04,3.226861E-04,6.314981E-05,-4.212523E-05,2.204718E-03,1.180839E-05,1.070824E-05,2.153117E-05,8.109059E-04,3.208096E-04,6.312387E-05,-4.212523E-05,2.204718E-03,
43617.575787037,7.227989E-02,-2.733105E-04,-2.200759E-06,-1.634767E-04,2.194959E-03,3.309844E-04,2.154512E-04,-4.345707E-04,-5.702141E-04,-2.721224E-04,-1.641509E-06,-1.625925E-04,2.177443E-03,3.312905E-04,2.155014E-04,-4.372178E-04,-5.679689E-04,1.906823E-05,2.737461E-05,2.093784E-05,3.284165E-04,6.499326E-05,4.012135E-05,-6.439142E-05,-8.364785E-05,1.92433E-05,2.745703E-05,2.106813E-05,3.258353E-04,6.503837E-05,4.012875E-05,-6.439142E-05,-8.364785E-05,
43617.5757986111,5.929988E-02,4.754291E-03,9.077904E-05,4.201736E-03,2.537367E-02,2.232701E-02,3.366916E-03,8.977369E-04,6.447768E-04,4.707811E-03,9.151822E-05,4.156217E-03,2.320551E-02,2.068814E-02,3.327155E-03,8.948662E-04,6.16652E-04,7.599625E-04,4.107662E-05,6.642189E-04,3.744155E-03,3.306445E-03,5.045381E-04,1.317918E-04,9.081767E-05,7.53113E-04,4.118554E-05,6.57511E-04,3.424643E-03,3.064933E-03,4.986786E-04,1.317918E-04,9.081767E-05,
43617.5758101852,.1501599,1.535265E-02,1.379745E-02,.0146625,1.148605E-02,1.612551E-02,1.120067E-02,1.754957E-03,1.926551E-03,1.465352E-02,1.314879E-02,1.397079E-02,.0110117,1.525048E-02,1.075902E-02,1.67532E-03,1.886468E-03,2.321793E-03,2.060965E-03,2.205773E-03,1.697602E-03,2.392558E-03,1.658961E-03,2.467335E-04,2.778303E-04,2.218766E-03,1.965374E-03,2.103838E-03,1.627699E-03,2.26361E-03,1.593878E-03,2.467335E-04,2.778303E-04,
43617.5758217593,.3059199,1.390142E-02,1.247458E-02,1.315276E-02,9.855464E-03,1.235067E-02,9.97238E-03,1.665737E-03,1.916811E-03,.0133328,.0119433,1.259772E-02,9.503704E-03,1.183162E-02,9.620833E-03,1.597684E-03,1.882411E-03,2.107932E-03,1.866019E-03,1.983289E-03,1.457309E-03,1.836278E-03,1.477954E-03,2.352995E-04,2.772329E-04,2.024137E-03,1.787727E-03,1.901496E-03,1.405472E-03,1.759788E-03,1.426149E-03,2.352995E-04,2.772329E-04,
